id,pred,true,latency_ms,cpu_percent,mem_percent,accuracy_cumulative,timestamp
,normal,normal,897.7937698364258,50.0,58.5,1.0,1758174357.5915341
,normal,normal,149.46389198303223,48.3,58.5,1.0,1758174357.74477
,normal,normal,162.8439426422119,27.4,58.5,1.0,1758174357.911361
,normal,normal,153.40614318847656,28.7,58.4,1.0,1758174358.068328
,normal,normal,159.60693359375,26.1,58.5,1.0,1758174358.231214
,normal,normal,144.40131187438965,31.9,58.4,1.0,1758174358.379149
,normal,normal,129.94694709777832,32.6,58.4,1.0,1758174358.512585
,normal,normal,129.63294982910156,27.8,58.4,1.0,1758174358.645855
,normal,suspect,125.2589225769043,29.7,58.4,0.8888888888888888,1758174358.774668
,normal,suspect,139.1909122467041,26.4,58.4,0.8,1758174358.917353
,normal,normal,123.50010871887207,29.9,58.4,0.8181818181818182,1758174359.044401
,normal,suspect,141.45898818969727,28.2,58.4,0.75,1758174359.189424
,normal,stage 2 failure,126.08504295349121,27.1,58.4,0.6923076923076923,1758174359.3190641
,suspect,suspect,135.46204566955566,0.0,58.4,0.7142857142857143,1758174359.4578922
,normal,normal,156.07810020446777,0.0,58.4,0.7333333333333333,1758174359.6173801
,normal,normal,129.866361618042,31.6,58.4,0.75,1758174359.750936
,suspect,rolling element failure,123.27814102172852,39.8,58.4,0.7058823529411765,1758174359.8775969
,normal,normal,139.4979953765869,35.7,58.4,0.7222222222222222,1758174360.0206
,normal,normal,154.96206283569336,35.4,58.4,0.7368421052631579,1758174360.178994
,normal,normal,152.35519409179688,37.8,58.4,0.75,1758174360.334937
,rolling element failure,suspect,142.84801483154297,38.2,58.4,0.7142857142857143,1758174360.483544
,suspect,suspect,127.57420539855957,0.0,58.4,0.7272727272727273,1758174360.6145458
,normal,normal,154.41608428955078,37.2,58.4,0.7391304347826086,1758174360.772521
,normal,normal,122.17092514038086,39.1,58.4,0.75,1758174360.8983731
,normal,rolling element failure,149.98292922973633,52.3,58.0,0.72,1758174361.051967
,normal,normal,141.0660743713379,45.8,56.8,0.7307692307692307,1758174361.1967099
,normal,normal,135.29086112976074,37.6,56.8,0.7407407407407407,1758174361.335501
,normal,normal,128.1731128692627,42.7,56.8,0.75,1758174361.467231
,normal,normal,137.1469497680664,52.2,56.8,0.7586206896551724,1758174361.607902
,suspect,suspect,152.6029109954834,43.7,56.8,0.7666666666666667,1758174361.764096
,normal,early,145.83492279052734,46.3,56.9,0.7419354838709677,1758174361.913346
,normal,early,154.8910140991211,52.2,56.9,0.71875,1758174362.0718799
,normal,normal,131.03103637695312,55.2,56.9,0.7272727272727273,1758174362.2065961
,suspect,normal,125.60200691223145,54.3,56.9,0.7058823529411765,1758174362.335808
,normal,normal,124.03297424316406,60.3,57.0,0.7142857142857143,1758174362.463457
,normal,normal,135.88309288024902,44.6,57.0,0.7222222222222222,1758174362.602886
,normal,suspect,118.34979057312012,0.0,57.0,0.7027027027027027,1758174362.724662
,suspect,suspect,120.43499946594238,0.0,57.0,0.7105263157894737,1758174362.848562
,normal,early,151.92914009094238,40.0,57.0,0.6923076923076923,1758174363.003999
,normal,early,142.15397834777832,35.6,57.0,0.675,1758174363.149827
,normal,normal,152.71711349487305,46.8,57.0,0.6829268292682927,1758174363.306863
,normal,normal,121.43063545227051,47.7,57.0,0.6904761904761905,1758174363.4319282
,normal,normal,145.75815200805664,61.5,57.0,0.6976744186046512,1758174363.581027
,normal,normal,136.78693771362305,47.5,57.0,0.7045454545454546,1758174363.7213728
,suspect,suspect,145.8749771118164,0.0,57.0,0.7111111111111111,1758174363.870833
,normal,early,135.2851390838623,69.7,57.1,0.6956521739130435,1758174364.009645
,early,early,165.97509384155273,85.3,57.0,0.7021276595744681,1758174364.179167
,early,early,152.99224853515625,74.4,56.8,0.7083333333333334,1758174364.335905
,early,early,126.35588645935059,52.7,56.8,0.7142857142857143,1758174364.465657
,suspect,suspect,126.1298656463623,53.1,56.9,0.72,1758174364.59536
,normal,normal,134.34076309204102,48.2,56.9,0.7254901960784313,1758174364.733223
,normal,suspect,154.39224243164062,72.2,56.9,0.7115384615384616,1758174364.8911748
,rolling element failure,stage 2 failure,119.60816383361816,65.6,56.9,0.6981132075471698,1758174365.0143418
,suspect,suspect,144.7160243988037,47.2,56.9,0.7037037037037037,1758174365.162719
,normal,suspect,143.99194717407227,45.3,56.9,0.6909090909090909,1758174365.3103812
,normal,suspect,121.50883674621582,0.0,56.9,0.6785714285714286,1758174365.4352798
,normal,stage 2 failure,142.06504821777344,0.0,56.9,0.6666666666666666,1758174365.580885
,normal,suspect,143.49889755249023,0.0,56.9,0.6551724137931034,1758174365.727969
,normal,early,155.29823303222656,0.0,56.9,0.6440677966101694,1758174365.886774
,normal,early,121.25802040100098,0.0,56.9,0.6333333333333333,1758174366.011422
,normal,early,119.87090110778809,40.3,56.9,0.6229508196721312,1758174366.1359072
,suspect,suspect,149.30200576782227,37.0,56.9,0.6290322580645161,1758174366.288594
,normal,normal,148.60010147094727,57.3,56.7,0.6349206349206349,1758174366.440552
,normal,normal,139.80603218078613,42.7,56.7,0.640625,1758174366.5838459
,normal,normal,151.77392959594727,41.0,56.7,0.6461538461538462,1758174366.7390878
,normal,normal,156.3088893890381,47.4,56.7,0.6515151515151515,1758174366.898892
,normal,normal,133.8670253753662,56.0,56.7,0.6567164179104478,1758174367.036159
,normal,normal,156.02803230285645,42.8,56.8,0.6617647058823529,1758174367.1956859
,normal,suspect,142.18902587890625,38.6,56.8,0.6521739130434783,1758174367.3413801
,normal,suspect,144.61088180541992,50.3,56.8,0.6428571428571429,1758174367.489533
,normal,suspect,134.66382026672363,59.0,56.9,0.6338028169014085,1758174367.627719
,normal,suspect,157.48119354248047,46.6,56.9,0.625,1758174367.788824
,rolling element failure,stage 2 failure,155.69519996643066,0.0,56.9,0.6164383561643836,1758174367.948224
,normal,early,137.87388801574707,0.0,56.9,0.6081081081081081,1758174368.08958
,early,early,143.66483688354492,40.0,56.9,0.6133333333333333,1758174368.2368
,early,early,137.24064826965332,44.6,56.8,0.618421052631579,1758174368.377543
,early,early,130.70368766784668,0.0,56.8,0.6233766233766234,1758174368.511842
,suspect,normal,160.9809398651123,0.0,56.8,0.6153846153846154,1758174368.6762948
,normal,normal,131.43396377563477,0.0,56.9,0.620253164556962,1758174368.811224
,normal,normal,130.50436973571777,0.0,56.9,0.625,1758174368.945344
,normal,normal,139.12200927734375,0.0,56.8,0.6296296296296297,1758174369.0888672
,suspect,suspect,147.07684516906738,44.0,56.8,0.6341463414634146,1758174369.239315
,normal,normal,125.92482566833496,44.2,56.8,0.6385542168674698,1758174369.368812
,normal,normal,133.7606906890869,39.1,56.8,0.6428571428571429,1758174369.506026
,rolling element failure,rolling element failure,122.56717681884766,41.6,56.8,0.6470588235294118,1758174369.632241
,suspect,suspect,129.4689178466797,45.9,56.8,0.6511627906976745,1758174369.765323
,normal,normal,131.64901733398438,57.5,56.8,0.6551724137931034,1758174369.900565
,normal,suspect,134.47022438049316,82.5,56.8,0.6477272727272727,1758174370.038902
,rolling element failure,stage 2 failure,140.33889770507812,53.8,56.8,0.6404494382022472,1758174370.182919
,normal,normal,155.1220417022705,56.1,56.9,0.6444444444444445,1758174370.341654
,normal,normal,122.99513816833496,64.0,56.9,0.6483516483516484,1758174370.468298
,normal,normal,145.7531452178955,49.7,56.9,0.6521739130434783,1758174370.61771
,normal,suspect,135.0247859954834,54.6,57.0,0.6451612903225806,1758174370.756289
,suspect,suspect,129.5030117034912,0.0,57.0,0.648936170212766,1758174370.889431
,normal,normal,132.7962875366211,0.0,57.0,0.6526315789473685,1758174371.025842
,normal,normal,142.5161361694336,0.0,57.0,0.65625,1758174371.171893
,rolling element failure,rolling element failure,142.47584342956543,0.0,57.0,0.6597938144329897,1758174371.3179991
,suspect,normal,122.48086929321289,41.4,57.0,0.6530612244897959,1758174371.4439812
,normal,normal,122.12014198303223,38.4,57.0,0.6565656565656566,1758174371.569677
,normal,normal,118.99089813232422,0.0,57.0,0.66,1758174371.692298
,normal,suspect,135.96796989440918,0.0,57.0,0.6534653465346535,1758174371.83268
,suspect,suspect,148.1328010559082,0.0,57.0,0.6568627450980392,1758174371.984423
,normal,normal,127.12717056274414,0.0,57.0,0.6601941747572816,1758174372.115173
,normal,suspect,138.52310180664062,0.0,57.0,0.6538461538461539,1758174372.257323
,rolling element failure,stage 2 failure,135.47301292419434,0.0,57.0,0.6476190476190476,1758174372.39642
,suspect,suspect,119.33183670043945,42.4,57.0,0.6509433962264151,1758174372.519418
,normal,early,153.5038948059082,41.7,57.0,0.6448598130841121,1758174372.67631
,normal,early,140.9151554107666,51.7,57.0,0.6388888888888888,1758174372.820815
,normal,normal,131.43396377563477,52.3,57.0,0.6422018348623854,1758174372.9558568
,normal,normal,144.70887184143066,42.8,57.0,0.6454545454545455,1758174373.104147
,normal,normal,134.87005233764648,36.0,57.0,0.6486486486486487,1758174373.2425559
,normal,normal,129.86183166503906,43.2,57.0,0.6517857142857143,1758174373.3759658
,normal,normal,129.0762424468994,36.6,57.0,0.6548672566371682,1758174373.50859
,normal,suspect,157.37080574035645,39.0,57.0,0.6491228070175439,1758174373.669375
,normal,suspect,138.3209228515625,42.8,57.1,0.6434782608695652,1758174373.811271
,normal,suspect,149.63817596435547,37.6,57.1,0.6379310344827587,1758174373.964418
,normal,stage 2 failure,158.01501274108887,40.1,57.1,0.6324786324786325,1758174374.12604
,normal,early,120.86892127990723,36.8,57.1,0.6271186440677966,1758174374.250408
,early,early,148.76222610473633,37.1,57.1,0.6302521008403361,1758174374.4028108
,early,early,146.7571258544922,37.7,57.1,0.6333333333333333,1758174374.553162
,early,early,156.51798248291016,56.4,57.6,0.6363636363636364,1758174374.714051
,normal,normal,133.53705406188965,46.2,57.6,0.639344262295082,1758174374.851103
,normal,normal,149.51610565185547,41.4,57.6,0.6422764227642277,1758174375.004138
,normal,normal,145.12014389038086,50.3,57.6,0.6451612903225806,1758174375.152881
