id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;mode;profile;;lat;cpu;mem
;normal;early;319,0948963;0;11,82117462;0;1758284004;dl;cloud;;151,9396379;5,111167807;2,225041765
;early;early;153,4321308;23,7;11,79633141;0,5;1758284004;dl;cloud;;;;
;early;early;133,6288452;29,2;11,78479195;0,666666667;1758284004;dl;cloud;;;;
;early;early;129,956007;32,7;11,78765297;0,75;1758284004;dl;cloud;;;;
;normal;normal;250,658989;50,2;11,78975105;0,8;1758284005;dl;cloud;;;;
;normal;normal;151,3588428;27,1;11,79103851;0,833333333;1758284005;dl;cloud;;;;
;normal;normal;135,29706;29,6;11,79308891;0,857142857;1758284005;dl;cloud;;;;
;normal;suspect;142,1010494;30,6;11,79571152;0,75;1758284005;dl;cloud;;;;
;normal;normal;137,6960278;30,5;11,79623604;0,777777778;1758284005;dl;cloud;;;;
;normal;normal;127,2630692;30;11,7972374;0,8;1758284005;dl;cloud;;;;
;normal;normal;126,1031628;31,5;11,7975235;0,818181818;1758284005;dl;cloud;;;;
;normal;suspect;120,1972961;32,2;11,79814339;0,75;1758284005;dl;cloud;;;;
;suspect;suspect;139,4228935;29,6;11,79847717;0,769230769;1758284006;dl;cloud;;;;
;normal;normal;153,8109779;26,3;11,80124283;0,785714286;1758284006;dl;cloud;;;;
;normal;suspect;136,7042065;27,1;11,7292881;0,733333333;1758284006;dl;cloud;;;;
;rolling element failure;rolling element failure;150,4230499;23,7;11,71555519;0,75;1758284006;dl;cloud;;;;
;suspect;normal;128,688097;27,2;11,7017746;0,705882353;1758284006;dl;cloud;;;;
;normal;normal;146,545887;25,2;11,7017746;0,722222222;1758284006;dl;cloud;;;;
;normal;normal;133,2728863;27,9;11,7020607;0,736842105;1758284007;dl;cloud;;;;
;normal;suspect;155,425787;22,3;11,70272827;0,7;1758284007;dl;cloud;;;;
;normal;normal;145,635128;25,8;11,70315742;0,714285714;1758284007;dl;cloud;;;;
;normal;normal;141,3600445;24,8;11,70325279;0,727272727;1758284007;dl;cloud;;;;
;normal;normal;144,6151733;24,4;11,70363426;0,739130435;1758284007;dl;cloud;;;;
;normal;normal;155,8709145;22,6;11,70363426;0,75;1758284007;dl;cloud;;;;
;suspect;suspect;134,221077;25,9;11,70401573;0,76;1758284007;dl;cloud;;;;
;normal;normal;148,1640339;24,1;11,70406342;0,769230769;1758284008;dl;cloud;;;;
;normal;normal;151,4706612;23,5;11,70415878;0,777777778;1758284008;dl;cloud;;;;
;normal;rolling element failure;131,6993237;27;11,70482635;0,75;1758284008;dl;cloud;;;;
;normal;suspect;141,8259144;29,9;11,70501709;0,724137931;1758284008;dl;cloud;;;;
;normal;normal;133,2070827;28,6;11,70511246;0,733333333;1758284008;dl;cloud;;;;
;normal;suspect;128,2978058;29,8;11,70511246;0,709677419;1758284008;dl;cloud;;;;
;rolling element failure;stage 2 failure;158,618927;24,6;11,70516014;0,6875;1758284008;dl;cloud;;;;
;suspect;suspect;135,2479458;25,7;11,70516014;0,696969697;1758284009;dl;cloud;;;;
;normal;early;145,6501484;29;11,70516014;0,676470588;1758284009;dl;cloud;;;;
;normal;early;129,6858788;29,6;11,70520782;0,657142857;1758284009;dl;cloud;;;;
;normal;normal;121,639967;33,8;11,70520782;0,666666667;1758284009;dl;cloud;;;;
;suspect;normal;152,6992321;22,1;11,70525551;0,648648649;1758284009;dl;cloud;;;;
;normal;normal;138,5810375;24,3;11,70578003;0,657894737;1758284009;dl;cloud;;;;
;normal;normal;130,920887;26,1;11,70582771;0,666666667;1758284009;dl;cloud;;;;
;rolling element failure;suspect;156,1090946;26;11,70611382;0,65;1758284010;dl;cloud;;;;
;normal;early;156,5160751;30,7;11,70625687;0,634146341;1758284010;dl;cloud;;;;
;early;early;136,4569664;28,8;11,70730591;0,642857143;1758284010;dl;cloud;;;;
;early;early;136,013031;25,2;11,70740128;0,651162791;1758284010;dl;cloud;;;;
;early;early;127,9408932;33;11,70744896;0,659090909;1758284010;dl;cloud;;;;
;suspect;suspect;152,4510384;22,3;11,70759201;0,666666667;1758284010;dl;cloud;;;;
;normal;early;160,1836681;22,2;11,70759201;0,652173913;1758284010;dl;cloud;;;;
;normal;early;124,6871948;27,3;11,70759201;0,638297872;1758284011;dl;cloud;;;;
;normal;early;150,1030922;23,6;11,70763969;0,625;1758284011;dl;cloud;;;;
;normal;normal;124,2930889;27,1;11,70787811;0,632653061;1758284011;dl;cloud;;;;
;normal;normal;158,3323479;24,6;11,70802116;0,64;1758284011;dl;cloud;;;;
;normal;normal;150,094986;25,6;11,70854568;0,647058824;1758284011;dl;cloud;;;;
;normal;normal;161,1990929;27,5;11,70864105;0,653846154;1758284011;dl;cloud;;;;
;suspect;suspect;150,9330273;28,9;11,70868874;0,660377358;1758284012;dl;cloud;;;;
;normal;normal;145,0669765;25,2;11,70868874;0,666666667;1758284012;dl;cloud;;;;
;normal;normal;125,0240803;27,2;11,70868874;0,672727273;1758284012;dl;cloud;;;;
;normal;normal;141,7860985;25;11,70868874;0,678571429;1758284012;dl;cloud;;;;
;suspect;normal;141,0140991;23,2;11,70868874;0,666666667;1758284012;dl;cloud;;;;
;normal;normal;154,1950703;23;11,7087841;0,672413793;1758284012;dl;cloud;;;;
;normal;normal;146,7709541;23,8;11,70883179;0,677966102;1758284012;dl;cloud;;;;
;normal;suspect;143,0029869;23,2;11,70883179;0,666666667;1758284013;dl;cloud;;;;
;suspect;suspect;132,4179173;29,3;11,70892715;0,672131148;1758284013;dl;cloud;;;;
;normal;normal;129,9409866;25,2;11,70897484;0,677419355;1758284013;dl;cloud;;;;
;normal;normal;142,5001621;24,6;11,70907021;0,682539683;1758284013;dl;cloud;;;;
;rolling element failure;rolling element failure;148,8969326;30;11,70930862;0,6875;1758284013;dl;cloud;;;;
;suspect;suspect;137,565136;24,8;11,70945168;0,692307692;1758284013;dl;cloud;;;;
;normal;early;141,4818764;23,5;11,71088219;0,681818182;1758284013;dl;cloud;;;;
;normal;early;123,5740185;26,8;11,71088219;0,671641791;1758284014;dl;cloud;;;;
;normal;normal;134,4342232;26,4;11,71088219;0,676470588;1758284014;dl;cloud;;;;
;normal;suspect;135,2748871;24,9;11,71140671;0,666666667;1758284014;dl;cloud;;;;
;normal;suspect;123,6851215;25,9;11,71150208;0,657142857;1758284014;dl;cloud;;;;
;normal;suspect;157,0351124;22,3;11,71150208;0,647887324;1758284014;dl;cloud;;;;
;rolling element failure;stage 2 failure;132,8401566;29,6;11,71150208;0,638888889;1758284014;dl;cloud;;;;
;suspect;suspect;158,8089466;22,3;11,71150208;0,643835616;1758284014;dl;cloud;;;;
;normal;normal;151,3030529;22;11,71154976;0,648648649;1758284015;dl;cloud;;;;
;normal;normal;158,9560509;24,2;11,71159744;0,653333333;1758284015;dl;cloud;;;;
;normal;normal;135,363102;26;11,71164513;0,657894737;1758284015;dl;cloud;;;;
;normal;suspect;136,6407871;25,4;11,7120266;0,649350649;1758284015;dl;cloud;;;;
;normal;suspect;144,0320015;25,5;11,7120266;0,641025641;1758284015;dl;cloud;;;;
;normal;suspect;125,289917;27,2;11,71216965;0,632911392;1758284015;dl;cloud;;;;
;rolling element failure;stage 2 failure;121,0920811;28,5;11,71216965;0,625;1758284015;dl;cloud;;;;
;normal;early;138,8049126;28,6;11,71216965;0,617283951;1758284016;dl;cloud;;;;
;early;early;158,6492062;22;11,71216965;0,62195122;1758284016;dl;cloud;;;;
;early;early;123,2132912;28,3;11,71255112;0,626506024;1758284016;dl;cloud;;;;
;early;early;147,2280025;23,4;11,71278954;0,630952381;1758284016;dl;cloud;;;;
;normal;early;144,7422504;23,9;11,71283722;0,623529412;1758284016;dl;cloud;;;;
;early;early;152,7957916;22,7;11,71283722;0,627906977;1758284016;dl;cloud;;;;
;early;early;152,4031162;23,2;11,71298027;0,632183908;1758284016;dl;cloud;;;;
;early;early;136,5041733;25,5;11,71302795;0,636363636;1758284017;dl;cloud;;;;
;suspect;suspect;131,8759918;20,7;11,71317101;0,640449438;1758284017;dl;cloud;;;;
;normal;normal;154,804945;3,7;11,71355247;0,644444444;1758284018;dl;cloud;;;;
;normal;suspect;136,5120411;8,2;11,71364784;0,637362637;1758284019;dl;cloud;;;;
;rolling element failure;rolling element failure;134,0949535;3,8;11,71383858;0,641304348;1758284020;dl;cloud;;;;
;suspect;normal;146,7597485;5,2;11,71417236;0,634408602;1758284021;dl;cloud;;;;
;normal;normal;162,5130177;4,6;11,71417236;0,638297872;1758284022;dl;cloud;;;;
;normal;normal;162,7531052;4,3;11,71827316;0,642105263;1758284023;dl;cloud;;;;
;normal;rolling element failure;134,8531246;4;11,72065735;0,635416667;1758284024;dl;cloud;;;;
;normal;normal;143,5251236;4,1;11,72246933;0,639175258;1758284025;dl;cloud;;;;
;normal;normal;126,2412071;4;11,72266006;0,642857143;1758284026;dl;cloud;;;;
;normal;normal;136,4970207;3,9;11,72318459;0,646464646;1758284027;dl;cloud;;;;
;normal;suspect;156,9979191;4;11,72327995;0,64;1758284028;dl;cloud;;;;
;normal;suspect;130,6540966;4,4;11,72332764;0,633663366;1758284029;dl;cloud;;;;
;normal;normal;127,8250217;4,1;11,72375679;0,637254902;1758284030;dl;cloud;;;;
;normal;suspect;170,2618599;4,6;11,72375679;0,631067961;1758284031;dl;cloud;;;;
;suspect;stage 2 failure;143,6548233;3,9;11,72375679;0,625;1758284032;dl;cloud;;;;
;normal;suspect;151,4601707;3,6;11,72385216;0,619047619;1758284033;dl;cloud;;;;
;normal;normal;157,0241451;7,7;11,72394753;0,622641509;1758284034;dl;cloud;;;;
;normal;normal;132,529974;3,7;11,72399521;0,626168224;1758284035;dl;cloud;;;;
;normal;normal;137,2461319;4,9;11,72399521;0,62962963;1758284036;dl;cloud;;;;
;normal;normal;157,0038795;3,4;11,72394753;0,633027523;1758284037;dl;cloud;;;;
;normal;normal;141,4391994;3,9;11,72399521;0,636363636;1758284038;dl;cloud;;;;
;normal;normal;145,7526684;4;11,72485352;0,63963964;1758284039;dl;cloud;;;;
;normal;normal;121,874094;3,9;11,7249012;0,642857143;1758284040;dl;cloud;;;;
;suspect;suspect;162,7559662;3,8;11,72523499;0,646017699;1758284041;dl;cloud;;;;
;normal;early;123,5609055;4,5;11,72523499;0,640350877;1758284042;dl;cloud;;;;
;normal;early;124,6137619;3,9;11,72523499;0,634782609;1758284043;dl;cloud;;;;
;normal;early;148,9973068;3,8;11,72523499;0,629310345;1758284044;dl;cloud;;;;
;normal;normal;133,0111027;4,3;11,72523499;0,632478632;1758284045;dl;cloud;;;;
;normal;normal;152,0500183;4,3;11,72537804;0,63559322;1758284046;dl;cloud;;;;
;normal;normal;125,1499653;4,1;11,72537804;0,638655462;1758284047;dl;cloud;;;;
;normal;normal;143,0389881;3,5;11,72537804;0,641666667;1758284048;dl;cloud;;;;
;suspect;suspect;127,6211739;5,5;11,7254734;0,644628099;1758284049;dl;cloud;;;;
;normal;normal;128,8011074;5,1;11,72552109;0,647540984;1758284050;dl;cloud;;;;
;normal;normal;128,1349659;3,9;11,72566414;0,650406504;1758284051;dl;cloud;;;;
;rolling element failure;rolling element failure;141,2169933;3,9;11,72556877;0,653225806;1758284052;dl;cloud;;;;
;normal;normal;165,0569439;5;11,72633171;0,656;1758284053;dl;cloud;;;;
;normal;normal;139,934063;4,8;11,72633171;0,658730159;1758284054;dl;cloud;;;;
;normal;normal;148,072958;3,8;11,72633171;0,661417323;1758284055;dl;cloud;;;;
