id,pred,true,latency_ms,cpu_percent,mem_percent,accuracy_cumulative,timestamp
,imminent failure,suspect,102.52904891967773,41.3,66.9,0.0,1758118627.6119199
,normal,suspect,108.33907127380371,31.1,67.2,0.0,1758118628.629693
,stage 2 failure,suspect,126.97219848632812,31.5,68.0,0.0,1758118629.6641972
,imminent failure,stage 2 failure,115.89813232421875,30.7,68.0,0.0,1758118630.660852
,normal,suspect,110.02969741821289,31.2,68.0,0.0,1758118631.667959
,normal,early,99.64799880981445,31.9,68.2,0.0,1758118632.670006
,early,early,94.94400024414062,35.1,68.7,0.14285714285714285,1758118633.678347
,early,normal,99.04289245605469,30.6,68.6,0.125,1758118634.6936069
,normal,suspect,128.79490852355957,32.3,68.8,0.1111111111111111,1758118635.738177
,normal,normal,106.59408569335938,30.6,68.7,0.2,1758118636.725236
,stage 2 failure,normal,107.79595375061035,31.9,68.5,0.18181818181818182,1758118637.7403572
,stage 2 failure,rolling element failure,122.76196479797363,30.6,68.6,0.16666666666666666,1758118638.7678201
,normal,normal,111.7088794708252,31.5,68.6,0.23076923076923078,1758118639.7692769
,normal,normal,119.02117729187012,30.6,68.6,0.2857142857142857,1758118640.790323
,imminent failure,normal,118.59512329101562,31.8,68.7,0.26666666666666666,1758118641.8021429
,early,suspect,95.29685974121094,30.8,68.7,0.25,1758118642.791051
,normal,suspect,99.03311729431152,31.3,68.7,0.23529411764705882,1758118643.809151
,normal,normal,107.20491409301758,30.5,68.7,0.2777777777777778,1758118644.82957
,stage 2 failure,suspect,90.84177017211914,32.6,68.9,0.2631578947368421,1758118645.825792
,stage 2 failure,stage 2 failure,109.53974723815918,31.0,68.8,0.3,1758118646.855499
,normal,suspect,95.79896926879883,49.8,69.4,0.2857142857142857,1758118647.873355
,normal,early,112.06817626953125,59.8,70.1,0.2727272727272727,1758118648.893003
,early,early,121.48714065551758,38.2,70.2,0.30434782608695654,1758118649.9162939
,early,normal,107.59902000427246,39.4,70.3,0.2916666666666667,1758118650.915489
,normal,suspect,96.49467468261719,42.3,70.4,0.28,1758118651.918167
,normal,early,91.92895889282227,35.7,70.4,0.2692307692307692,1758118652.922644
,stage 2 failure,early,123.60811233520508,37.3,70.4,0.25925925925925924,1758118653.966228
,early,normal,90.91973304748535,35.3,70.4,0.25,1758118654.948883
,normal,suspect,128.80778312683105,39.3,70.4,0.2413793103448276,1758118655.9931378
,normal,early,104.59399223327637,35.4,70.3,0.23333333333333334,1758118656.994576
,stage 2 failure,early,128.10015678405762,35.4,70.3,0.22580645161290322,1758118658.030091
,early,normal,118.75033378601074,35.5,70.3,0.21875,1758118659.036265
,normal,suspect,95.62897682189941,35.3,70.3,0.21212121212121213,1758118660.024394
,normal,normal,95.7648754119873,35.7,70.4,0.23529411764705882,1758118661.037333
,stage 2 failure,suspect,108.85882377624512,35.3,70.4,0.22857142857142856,1758118662.061008
,stage 2 failure,stage 2 failure,118.50190162658691,36.0,70.3,0.25,1758118663.084276
,normal,suspect,114.74990844726562,35.1,68.5,0.24324324324324326,1758118664.095398
,normal,normal,119.02999877929688,37.2,68.6,0.2631578947368421,1758118665.108144
,imminent failure,normal,115.24510383605957,36.5,68.7,0.2564102564102564,1758118666.118219
,early,rolling element failure,115.4639720916748,36.2,68.6,0.25,1758118667.128564
,normal,normal,109.95769500732422,38.2,68.7,0.2682926829268293,1758118668.139072
,normal,normal,113.64293098449707,39.3,68.7,0.2857142857142857,1758118669.148309
,early,normal,128.6149024963379,35.2,68.7,0.27906976744186046,1758118670.176682
,early,normal,121.90485000610352,37.7,68.7,0.2727272727272727,1758118671.1826072
