id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;;;;Lat media;CPU % media;Mem % media
;early;early;126,5411377;47,8;80,9;1;1758190015;;;;122,0866982;35,5221243;79,94806354
;early;early;117,0291901;55,3;80,9;1;1758190015;;;;;;
;early;early;106,9359779;33;80,9;1;1758190015;;;;;;
;early;early;102,4832726;0;80,9;1;1758190015;;;;;;
;normal;normal;93,490839;0;80,9;1;1758190015;;;;;;
;normal;normal;126,008749;0;80,9;1;1758190016;;;;;;
;imminent failure;normal;105,6997776;0;80,9;0,857142857;1758190016;;;;;;
;early;suspect;94,31505203;0;80,9;0,75;1758190016;;;;;;
;normal;normal;128,2060146;31,8;80,8;0,777777778;1758190016;;;;;;
;normal;normal;94,38323975;35,1;80,8;0,8;1758190016;;;;;;
;suspect;normal;102,0479202;0;80,8;0,727272727;1758190016;;;;;;
;early;suspect;128,4680367;0;80,8;0,666666667;1758190016;;;;;;
;normal;suspect;113,5931015;0;80,8;0,615384615;1758190016;;;;;;
;normal;normal;97,76616096;0;80,8;0,642857143;1758190016;;;;;;
;imminent failure;suspect;98,37698936;0;80,8;0,6;1758190017;;;;;;
;imminent failure;rolling element failure;112,5969887;0;80,8;0,5625;1758190017;;;;;;
;normal;normal;107,3729992;0;80,8;0,588235294;1758190017;;;;;;
;normal;normal;125,5309582;34,9;80,8;0,611111111;1758190017;;;;;;
;imminent failure;normal;92,73695946;43,9;80,7;0,578947368;1758190017;;;;;;
;normal;suspect;114,9451733;35,9;80,7;0,55;1758190017;;;;;;
;normal;normal;95,38388252;33,3;80,7;0,571428571;1758190017;;;;;;
;normal;normal;110,8400822;36,5;80,7;0,590909091;1758190017;;;;;;
;stage 2 failure;normal;130,969286;36,7;80,7;0,565217391;1758190017;;;;;;
;early;normal;106,069088;36,4;80,7;0,541666667;1758190018;;;;;;
;normal;suspect;128,6029816;36,8;80,7;0,52;1758190018;;;;;;
;normal;normal;129,679203;58,1;80,7;0,538461538;1758190018;;;;;;
;early;normal;109,6236706;47;80,7;0,518518519;1758190018;;;;;;
;early;rolling element failure;118,9579964;33,3;80,7;0,5;1758190018;;;;;;
;normal;suspect;117,166996;29,2;80,7;0,482758621;1758190018;;;;;;
;normal;normal;115,3841019;32;80,7;0,5;1758190018;;;;;;
;imminent failure;suspect;113,9829159;28,2;80,7;0,483870968;1758190018;;;;;;
;imminent failure;stage 2 failure;115,2818203;0;80,7;0,46875;1758190019;;;;;;
;normal;suspect;102,1707058;0;80,7;0,454545455;1758190019;;;;;;
;normal;early;99,03311729;0;80,7;0,441176471;1758190019;;;;;;
;imminent failure;early;127,3522377;31,7;80,6;0,428571429;1758190019;;;;;;
;early;normal;102,9231548;30,5;80,6;0,416666667;1758190019;;;;;;
;normal;normal;124,3321896;37,8;80,6;0,432432432;1758190019;;;;;;
;normal;normal;117,9411411;33,1;80,6;0,447368421;1758190019;;;;;;
;early;normal;103,2969952;26,7;80,6;0,435897436;1758190019;;;;;;
;early;suspect;99,4682312;0;80,6;0,425;1758190019;;;;;;
;early;early;110,8300686;0;80,6;0,43902439;1758190020;;;;;;
;early;early;98,64711761;0;80,6;0,452380952;1758190020;;;;;;
;early;early;119,6072102;0;80,6;0,465116279;1758190020;;;;;;
;early;early;120,7859516;38,5;80,5;0,477272727;1758190020;;;;;;
;normal;suspect;98,76489639;30,3;80,5;0,466666667;1758190020;;;;;;
;normal;early;112,4651432;35,3;80,4;0,456521739;1758190020;;;;;;
;stage 2 failure;early;123,3160496;30;80,4;0,446808511;1758190020;;;;;;
;early;early;111,6740704;0;80,4;0,458333333;1758190020;;;;;;
;normal;normal;92,24176407;0;80,5;0,469387755;1758190021;;;;;;
;normal;normal;125,8847713;0;80,5;0,48;1758190021;;;;;;
;early;normal;128,2689571;0;80,5;0,470588235;1758190021;;;;;;
;early;normal;95,41296959;0;80,5;0,461538462;1758190021;;;;;;
;normal;suspect;109,4117165;35,8;80,6;0,452830189;1758190021;;;;;;
;normal;normal;97,35798836;35,7;80,6;0,462962963;1758190021;;;;;;
;early;normal;106,1258316;36,9;80,6;0,454545455;1758190021;;;;;;
;early;normal;105,9257984;31,5;80,6;0,446428571;1758190021;;;;;;
;normal;normal;113,5969162;27,1;80,6;0,456140351;1758190021;;;;;;
;normal;normal;96,66204453;25;80,6;0,465517241;1758190022;;;;;;
;stage 2 failure;normal;113,7120724;26,7;80,6;0,457627119;1758190022;;;;;;
;early;suspect;89,39409256;31,9;80,6;0,45;1758190022;;;;;;
;normal;suspect;100,6541252;0;80,6;0,442622951;1758190022;;;;;;
;normal;normal;93,24979782;28;80,5;0,451612903;1758190022;;;;;;
;imminent failure;normal;95,61610222;29,2;80,5;0,444444444;1758190022;;;;;;
;imminent failure;rolling element failure;98,55699539;28,6;80,5;0,4375;1758190022;;;;;;
;normal;suspect;109,7021103;26,1;80,5;0,430769231;1758190022;;;;;;
;normal;early;108,2770824;28,2;80,5;0,424242424;1758190022;;;;;;
;early;early;108,8931561;33,9;80,5;0,432835821;1758190022;;;;;;
;early;normal;122,5600243;36,5;80,5;0,426470588;1758190023;;;;;;
;normal;suspect;114,0313148;0;81,1;0,420289855;1758190023;;;;;;
;normal;suspect;119,1821098;0;81,1;0,414285714;1758190023;;;;;;
;stage 2 failure;suspect;117,9249287;36,5;81,1;0,408450704;1758190023;;;;;;
;imminent failure;stage 2 failure;104,6619415;30;81,1;0,402777778;1758190023;;;;;;
;normal;suspect;107,7771187;23,1;81,1;0,397260274;1758190023;;;;;;
;normal;normal;96,30584717;0;81,1;0,405405405;1758190023;;;;;;
;early;normal;101,3469696;0;81,1;0,4;1758190023;;;;;;
;early;normal;124,9320507;0;81,1;0,394736842;1758190024;;;;;;
;normal;suspect;93,66083145;0;81,1;0,38961039;1758190024;;;;;;
;normal;suspect;116,8541908;0;81,1;0,384615385;1758190024;;;;;;
;inner race failure;suspect;106,8301201;0;81,1;0,379746835;1758190024;;;;;;
;imminent failure;stage 2 failure;117,0918941;28,4;81;0,375;1758190024;;;;;;
;early;early;124,8519421;25,2;81;0,382716049;1758190024;;;;;;
;early;early;108,8528633;27,2;81;0,390243902;1758190024;;;;;;
;early;early;113,4979725;25;81;0,397590361;1758190024;;;;;;
;early;early;99,44295883;25,5;81;0,404761905;1758190024;;;;;;
;early;early;122,852087;24,8;81;0,411764706;1758190025;;;;;;
;early;early;122,3232746;0;81;0,418604651;1758190025;;;;;;
;early;early;94,22421455;0;81;0,425287356;1758190025;;;;;;
;early;early;118,2792187;0;81;0,431818182;1758190025;;;;;;
;normal;suspect;114,6931648;26,9;80,4;0,426966292;1758190025;;;;;;
;normal;normal;113,6000156;25,9;80,5;0,433333333;1758190025;;;;;;
;imminent failure;suspect;98,86908531;0;80,6;0,428571429;1758190025;;;;;;
;stage 2 failure;rolling element failure;116,4300442;0;80,6;0,423913043;1758190025;;;;;;
;normal;normal;106,2121391;0;80,7;0,430107527;1758190025;;;;;;
;normal;normal;103,4479141;0;80,7;0,436170213;1758190026;;;;;;
;imminent failure;normal;116,0948277;0;80,7;0,431578947;1758190026;;;;;;
;early;rolling element failure;107,9788208;0;80,7;0,427083333;1758190026;;;;;;
;normal;normal;102,0038128;43,9;80,7;0,432989691;1758190026;;;;;;
;normal;normal;129,3392181;73,4;81,4;0,43877551;1758190027;;;;;;
;imminent failure;normal;93,84989738;40,1;80,8;0,434343434;1758190028;;;;;;
;early;suspect;113,6350632;45,3;81,4;0,43;1758190029;;;;;;
;normal;suspect;104,1460037;44,7;81,2;0,425742574;1758190030;;;;;;
;normal;normal;125,2510548;42,2;80,7;0,431372549;1758190031;;;;;;
;stage 2 failure;suspect;130,2530766;38,3;80,6;0,427184466;1758190032;;;;;;
;imminent failure;stage 2 failure;127,4139881;34,6;80,6;0,423076923;1758190033;;;;;;
;normal;suspect;106,8181992;32,2;80,6;0,419047619;1758190034;;;;;;
;normal;normal;97,32794762;32,2;80,6;0,424528302;1758190035;;;;;;
;early;normal;122,2627163;41,2;80,6;0,420560748;1758190036;;;;;;
;early;normal;122,7030754;33,9;80,6;0,416666667;1758190037;;;;;;
;normal;normal;93,70875359;39,8;80,6;0,422018349;1758190038;;;;;;
;normal;normal;136,879921;32,7;80,6;0,427272727;1758190039;;;;;;
;imminent failure;normal;114,7332191;32,4;80,6;0,423423423;1758190040;;;;;;
;early;normal;126,6160011;37,4;80,4;0,419642857;1758190041;;;;;;
;normal;suspect;113,7292385;33,8;80,4;0,415929204;1758190042;;;;;;
;normal;early;116,5139675;32,8;81,2;0,412280702;1758190043;;;;;;
;early;early;104,2962074;32;81,1;0,417391304;1758190044;;;;;;
;early;early;105,1900387;39,9;80,8;0,422413793;1758190045;;;;;;
;normal;normal;93,27292442;47,5;80,7;0,427350427;1758190046;;;;;;
;normal;normal;97,95498848;52,2;80,6;0,43220339;1758190047;;;;;;
;early;normal;122,879982;30,7;80,5;0,428571429;1758190048;;;;;;
;early;normal;105,1888466;32,4;80,4;0,425;1758190049;;;;;;
;normal;suspect;98,87933731;31;80,4;0,421487603;1758190050;;;;;;
;normal;normal;131,3209534;48,8;80;0,426229508;1758190051;;;;;;
;imminent failure;normal;114,1569614;32;80,3;0,422764228;1758190052;;;;;;
;stage 2 failure;rolling element failure;109,5612049;43,5;80,5;0,419354839;1758190053;;;;;;
;normal;normal;107,4051857;33,8;80,3;0,424;1758190055;;;;;;
;normal;normal;94,64502335;31,6;80,4;0,428571429;1758190056;;;;;;
;stage 2 failure;normal;113,2102013;37,3;80,6;0,42519685;1758190057;;;;;;
;early;suspect;113,3980751;39,1;80,3;0,421875;1758190058;;;;;;
;early;early;141,7520046;30,5;80,3;0,426356589;1758190059;;;;;;
;early;early;110,4898453;29,8;80,4;0,430769231;1758190060;;;;;;
;early;early;99,35092926;39,1;80,5;0,435114504;1758190061;;;;;;
;early;early;131,1237812;48,4;80,5;0,439393939;1758190062;;;;;;
;normal;suspect;125,3151894;37,4;80,5;0,436090226;1758190063;;;;;;
;normal;early;120,6569672;29,8;80,5;0,432835821;1758190064;;;;;;
;early;early;114,6581173;29,3;80,5;0,437037037;1758190065;;;;;;
;early;normal;129,9180984;30,6;80,4;0,433823529;1758190066;;;;;;
