id,pred,true,latency_ms,cpu_percent,mem_percent,accuracy_cumulative,timestamp
,normal,suspect,116.65701866149902,41.8,71.7,0.0,1758119125.6839051
,normal,normal,105.51905632019043,35.8,71.8,0.5,1758119125.793343
,stage 2 failure,normal,110.57782173156738,31.3,71.8,0.3333333333333333,1758119125.907397
,inner race failure,rolling element failure,118.18194389343262,31.2,71.7,0.25,1758119126.0289931
,normal,normal,124.81498718261719,0.0,71.7,0.4,1758119126.1571882
,normal,normal,129.17494773864746,0.0,71.7,0.5,1758119126.289748
,stage 2 failure,normal,115.00000953674316,0.0,71.7,0.42857142857142855,1758119126.40824
,normal,suspect,106.76693916320801,0.0,71.7,0.375,1758119126.518544
,normal,normal,115.06485939025879,0.0,71.7,0.4444444444444444,1758119126.637076
,normal,normal,104.51078414916992,31.6,71.8,0.5,1758119126.7450109
,stage 2 failure,normal,122.92003631591797,42.6,71.7,0.45454545454545453,1758119126.8714502
,normal,normal,103.49488258361816,30.5,71.7,0.5,1758119126.978227
,normal,suspect,128.57723236083984,30.5,71.7,0.46153846153846156,1758119127.11027
,normal,normal,128.5381317138672,0.0,71.7,0.5,1758119127.242191
,imminent failure,suspect,120.72920799255371,0.0,71.7,0.4666666666666667,1758119127.3663769
,imminent failure,stage 2 failure,112.76507377624512,0.0,71.7,0.4375,1758119127.482597
,normal,normal,109.23004150390625,0.0,71.7,0.47058823529411764,1758119127.595319
,normal,normal,90.68918228149414,0.0,71.7,0.5,1758119127.689501
,stage 2 failure,normal,105.75675964355469,31.6,71.7,0.47368421052631576,1758119127.79882
,normal,normal,101.96924209594727,32.1,71.7,0.5,1758119127.904265
,normal,suspect,112.40601539611816,41.0,71.7,0.47619047619047616,1758119128.023409
,normal,normal,126.7540454864502,39.1,71.7,0.5,1758119128.153642
,stage 2 failure,normal,97.36227989196777,0.0,71.8,0.4782608695652174,1758119128.2544582
,stage 2 failure,rolling element failure,121.86288833618164,0.0,71.8,0.4583333333333333,1758119128.3799338
,normal,normal,96.3129997253418,0.0,71.8,0.48,1758119128.479695
,normal,normal,88.41395378112793,0.0,71.8,0.5,1758119128.5715468
,stage 2 failure,normal,118.49689483642578,0.0,71.8,0.48148148148148145,1758119128.6934679
,normal,suspect,97.61381149291992,0.0,71.8,0.4642857142857143,1758119128.794465
,normal,normal,118.29185485839844,41.4,71.8,0.4827586206896552,1758119128.9162061
,normal,normal,97.51415252685547,43.9,71.8,0.5,1758119129.017332
,stage 2 failure,normal,128.19671630859375,45.1,71.8,0.4838709677419355,1758119129.149033
,normal,normal,94.75517272949219,44.4,71.8,0.5,1758119129.247288
,normal,suspect,125.52380561828613,44.7,71.8,0.48484848484848486,1758119129.3763468
,normal,early,92.21816062927246,35.4,71.8,0.47058823529411764,1758119129.472076
,stage 2 failure,early,129.44722175598145,31.5,71.8,0.45714285714285713,1758119129.604845
,normal,normal,128.50666046142578,34.8,71.8,0.4722222222222222,1758119129.736898
,normal,suspect,96.88210487365723,0.0,71.8,0.4594594594594595,1758119129.8372622
,normal,normal,113.02804946899414,39.4,71.8,0.47368421052631576,1758119129.953592
,imminent failure,suspect,95.50690650939941,44.8,71.8,0.46153846153846156,1758119130.052672
,imminent failure,stage 2 failure,110.22281646728516,44.7,71.8,0.45,1758119130.1664069
,normal,normal,105.90791702270508,45.9,71.8,0.4634146341463415,1758119130.2766452
,normal,normal,126.99198722839355,47.7,71.8,0.47619047619047616,1758119130.407021
,stage 2 failure,normal,129.1341781616211,53.7,71.8,0.46511627906976744,1758119130.539753
,normal,suspect,107.92398452758789,35.2,71.8,0.45454545454545453,1758119130.651339
,normal,normal,117.3551082611084,0.0,71.8,0.4666666666666667,1758119130.77224
