id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;mode;profile;;Lat media;CPU % media;Mem % media
;normal;early;108,7338924;0;12,31102943;0;1758295136;ml;cloud;;120,6922898;2,203455874;1,124222867
;normal;early;117,5401211;16,5;12,34512329;0;1758295136;ml;cloud;;;;
;normal;early;124,4521141;9,2;12,35246658;0;1758295136;ml;cloud;;;;
;normal;early;114,7072315;9,3;12,35527992;0;1758295136;ml;cloud;;;;
;normal;normal;86,79008484;9,3;12,35547066;0,2;1758295137;ml;cloud;;;;
;normal;normal;97,50986099;10,4;12,35823631;0,333333333;1758295137;ml;cloud;;;;
;stage 2 failure;normal;128,8218498;8,1;12,35842705;0,285714286;1758295137;ml;cloud;;;;
;normal;suspect;102,4808884;10,4;12,36104965;0,25;1758295137;ml;cloud;;;;
;normal;normal;104,7899723;10,3;12,36186028;0,333333333;1758295137;ml;cloud;;;;
;normal;normal;102,7960777;11,2;12,36209869;0,4;1758295137;ml;cloud;;;;
;stage 2 failure;normal;114,440918;9,4;12,36228943;0,363636364;1758295137;ml;cloud;;;;
;normal;suspect;132,1098804;8,5;12,36248016;0,333333333;1758295137;ml;cloud;;;;
;imminent failure;suspect;103,0161381;11,1;12,36371994;0,307692308;1758295137;ml;cloud;;;;
;normal;normal;126,1341572;6,2;12,36391068;0,357142857;1758295138;ml;cloud;;;;
;imminent failure;suspect;108,2811356;10;12,36414909;0,333333333;1758295138;ml;cloud;;;;
;imminent failure;rolling element failure;128,1921864;9,1;12,36433983;0,3125;1758295138;ml;cloud;;;;
;normal;normal;113,417387;11,4;12,36453056;0,352941176;1758295138;ml;cloud;;;;
;normal;normal;122,8327751;11,7;12,3647213;0,388888889;1758295138;ml;cloud;;;;
;stage 2 failure;normal;127,3598671;9;12,36491203;0,368421053;1758295138;ml;cloud;;;;
;normal;suspect;125,2882481;8,6;12,36510277;0,35;1758295138;ml;cloud;;;;
;normal;normal;119,7202206;11,5;12,36572266;0,380952381;1758295138;ml;cloud;;;;
;normal;normal;116,9757843;7,1;12,36591339;0,409090909;1758295139;ml;cloud;;;;
;stage 2 failure;normal;114,2070293;9,2;12,36610413;0,391304348;1758295139;ml;cloud;;;;
;normal;normal;106,8210602;9,5;12,36629486;0,416666667;1758295139;ml;cloud;;;;
;normal;suspect;118,8571453;9,1;12,3664856;0,4;1758295139;ml;cloud;;;;
;normal;normal;122,3561764;8,9;12,36667633;0,423076923;1758295139;ml;cloud;;;;
;stage 2 failure;normal;109,4436646;10,3;12,36691475;0,407407407;1758295139;ml;cloud;;;;
;normal;rolling element failure;119,3211079;9,5;12,36710548;0,392857143;1758295139;ml;cloud;;;;
;normal;suspect;102,946043;9,8;12,37034798;0,379310345;1758295139;ml;cloud;;;;
;normal;normal;128,9229393;8,3;12,37063408;0,4;1758295140;ml;cloud;;;;
;imminent failure;suspect;107,1922779;10,2;12,37068176;0,387096774;1758295140;ml;cloud;;;;
;imminent failure;stage 2 failure;93,00899506;11,3;12,3708725;0,375;1758295140;ml;cloud;;;;
;normal;suspect;116,1527634;8,9;12,37106323;0,363636364;1758295140;ml;cloud;;;;
;normal;early;116,4360046;9,7;12,37125397;0,352941176;1758295140;ml;cloud;;;;
;stage 2 failure;early;106,3170433;10;12,3714447;0,342857143;1758295140;ml;cloud;;;;
;normal;normal;100,9631157;10;12,37163544;0,361111111;1758295140;ml;cloud;;;;
;normal;normal;104,167223;13,6;12,37187386;0,378378378;1758295140;ml;cloud;;;;
;normal;normal;121,1121082;9;12,37206459;0,394736842;1758295140;ml;cloud;;;;
;stage 2 failure;normal;101,1171341;10,6;12,37225533;0,384615385;1758295141;ml;cloud;;;;
