id,pred,true,latency_ms,cpu_percent,mem_percent,accuracy_cumulative,timestamp
,early,early,1300.4710674285889,42.7,68.1,1.0,1758114568.816694
,early,early,21.70395851135254,37.5,68.1,1.0,1758114568.8424141
,early,early,23.54717254638672,35.5,68.1,1.0,1758114568.869586
,normal,normal,23.340940475463867,44.0,68.1,1.0,1758114568.8964128
,normal,normal,24.398088455200195,0.0,68.1,1.0,1758114568.924445
,normal,normal,23.595094680786133,0.0,68.1,1.0,1758114568.9515488
,normal,suspect,19.43206787109375,0.0,68.1,0.8571428571428571,1758114568.974679
,normal,normal,25.66814422607422,0.0,68.1,0.875,1758114569.00412
,normal,normal,23.461103439331055,0.0,68.1,0.8888888888888888,1758114569.031081
,normal,normal,21.882057189941406,0.0,68.1,0.9,1758114569.056532
,normal,suspect,22.137165069580078,0.0,68.1,0.8181818181818182,1758114569.082251
,normal,suspect,23.823261260986328,0.0,68.1,0.75,1758114569.10973
,normal,normal,20.649194717407227,0.0,68.1,0.7692307692307693,1758114569.134027
,normal,suspect,22.311925888061523,0.0,68.1,0.7142857142857143,1758114569.1599538
,normal,rolling element failure,20.869731903076172,0.0,68.1,0.6666666666666666,1758114569.1842968
,normal,normal,23.83589744567871,0.0,68.1,0.6875,1758114569.2115278
,normal,normal,22.475004196166992,0.0,68.1,0.7058823529411765,1758114569.2375748
,normal,normal,21.310806274414062,0.0,68.1,0.7222222222222222,1758114569.262385
,normal,suspect,21.435022354125977,0.0,68.1,0.6842105263157895,1758114569.287316
,normal,normal,21.174907684326172,0.0,68.1,0.7,1758114569.312046
,normal,normal,22.169828414916992,0.0,68.1,0.7142857142857143,1758114569.3406148
,normal,normal,22.582054138183594,0.0,68.1,0.7272727272727273,1758114569.366613
,normal,normal,24.40190315246582,0.0,68.1,0.7391304347826086,1758114569.394367
,normal,suspect,23.689985275268555,0.0,68.1,0.7083333333333334,1758114569.4215791
,normal,normal,23.328065872192383,0.0,68.1,0.72,1758114569.448482
,normal,normal,21.277189254760742,0.0,68.1,0.7307692307692307,1758114569.473321
,normal,rolling element failure,25.694847106933594,0.0,68.1,0.7037037037037037,1758114569.5025868
,normal,suspect,20.577192306518555,0.0,68.1,0.6785714285714286,1758114569.5266922
,normal,normal,22.09615707397461,0.0,68.1,0.6896551724137931,1758114569.5522869
,normal,suspect,22.15099334716797,0.0,68.1,0.6666666666666666,1758114569.577891
,normal,stage 2 failure,22.346019744873047,0.0,68.1,0.6451612903225806,1758114569.603786
,normal,suspect,23.9260196685791,0.0,68.1,0.625,1758114569.631228
,normal,early,22.98903465270996,0.0,68.1,0.6060606060606061,1758114569.6576471
,normal,early,21.999835968017578,0.0,68.1,0.5882352941176471,1758114569.6830878
,normal,normal,20.63274383544922,0.0,68.1,0.6,1758114569.707086
,normal,normal,21.466970443725586,0.0,68.1,0.6111111111111112,1758114569.7319639
,normal,normal,21.800994873046875,0.0,68.1,0.6216216216216216,1758114569.757303
,normal,normal,22.526979446411133,0.0,68.1,0.631578947368421,1758114569.783356
,normal,suspect,20.921945571899414,0.0,68.1,0.6153846153846154,1758114569.807702
,early,early,20.261764526367188,42.2,68.1,0.625,1758114569.831419
,early,early,19.555091857910156,45.5,68.1,0.6341463414634146,1758114569.855257
,early,early,21.453142166137695,37.5,68.1,0.6428571428571429,1758114569.880197
,early,early,21.5909481048584,38.5,68.1,0.6511627906976745,1758114569.9051661
,normal,suspect,21.754026412963867,43.5,68.1,0.6363636363636364,1758114569.9303548
,normal,early,21.48294448852539,32.0,68.1,0.6222222222222222,1758114569.955235
,normal,early,23.81300926208496,39.3,68.1,0.6086956521739131,1758114569.982444
,normal,early,22.040128707885742,72.0,68.1,0.5957446808510638,1758114570.008053
,normal,normal,20.64800262451172,95.5,68.1,0.6041666666666666,1758114570.032405
,normal,normal,19.794225692749023,92.0,68.1,0.6122448979591837,1758114570.055857
,normal,normal,20.07603645324707,0.0,68.1,0.62,1758114570.07961
,normal,normal,25.192737579345703,0.0,68.1,0.6274509803921569,1758114570.108452
,normal,suspect,21.440982818603516,0.0,68.1,0.6153846153846154,1758114570.1333811
,normal,normal,22.873878479003906,0.0,68.1,0.6226415094339622,1758114570.1596339
,normal,normal,22.7658748626709,0.0,68.1,0.6296296296296297,1758114570.185935
,normal,normal,24.409770965576172,0.0,68.1,0.6363636363636364,1758114570.213878
,normal,normal,22.83310890197754,0.0,68.1,0.6428571428571429,1758114570.240126
,normal,normal,23.420333862304688,0.0,68.1,0.6491228070175439,1758114570.267082
,normal,normal,24.340152740478516,0.0,68.1,0.6551724137931034,1758114570.294867
,normal,suspect,21.103858947753906,0.0,68.1,0.6440677966101694,1758114570.319492
,normal,suspect,23.641109466552734,0.0,68.1,0.6333333333333333,1758114570.346538
,normal,normal,24.37615394592285,0.0,68.1,0.639344262295082,1758114570.375146
,normal,normal,21.453142166137695,0.0,68.1,0.6451612903225806,1758114570.400096
,normal,rolling element failure,21.998882293701172,0.0,68.1,0.6349206349206349,1758114570.4255848
,normal,suspect,19.921064376831055,0.0,68.1,0.625,1758114570.4489422
,normal,early,23.239850997924805,0.0,68.1,0.6153846153846154,1758114570.475755
,normal,early,23.164033889770508,0.0,68.1,0.6060606060606061,1758114570.502517
,normal,normal,21.528959274291992,0.0,68.1,0.6119402985074627,1758114570.527439
,normal,suspect,23.355722427368164,0.0,68.1,0.6029411764705882,1758114570.554247
,normal,suspect,23.28181266784668,0.0,68.1,0.5942028985507246,1758114570.580918
,normal,suspect,22.561073303222656,0.0,68.1,0.5857142857142857,1758114570.606921
,normal,stage 2 failure,22.44400978088379,0.0,68.1,0.5774647887323944,1758114570.6329632
,normal,suspect,24.799108505249023,0.0,68.1,0.5694444444444444,1758114570.661144
,normal,normal,21.537065505981445,0.0,68.1,0.5753424657534246,1758114570.6862211
,normal,normal,21.620988845825195,0.0,68.1,0.581081081081081,1758114570.711375
,normal,normal,23.917198181152344,0.0,68.1,0.5866666666666667,1758114570.738799
,normal,suspect,23.91815185546875,0.0,68.1,0.5789473684210527,1758114570.7661078
,normal,suspect,22.855043411254883,0.0,68.1,0.5714285714285714,1758114570.792405
,normal,suspect,23.053884506225586,0.0,68.1,0.5641025641025641,1758114570.818878
,normal,stage 2 failure,20.617008209228516,44.3,68.2,0.5569620253164557,1758114570.842885
,early,early,21.442890167236328,39.1,68.2,0.5625,1758114570.867792
,early,early,23.669004440307617,0.0,68.2,0.5679012345679012,1758114570.895773
,early,early,23.91791343688965,0.0,68.2,0.573170731707317,1758114570.9232068
,early,early,24.914264678955078,0.0,68.2,0.5783132530120482,1758114570.951732
,early,early,22.632360458374023,0.0,68.2,0.5833333333333334,1758114570.977834
,early,early,22.011280059814453,0.0,68.2,0.5882352941176471,1758114571.003349
,early,early,21.611928939819336,0.0,68.2,0.5930232558139535,1758114571.028409
,early,early,23.47397804260254,0.0,68.2,0.5977011494252874,1758114571.0552802
,normal,suspect,23.044824600219727,0.0,68.2,0.5909090909090909,1758114571.08188
,normal,normal,20.611047744750977,0.0,68.2,0.5955056179775281,1758114571.105846
,normal,suspect,21.094083786010742,0.0,68.2,0.5888888888888889,1758114571.130656
,normal,rolling element failure,22.782087326049805,0.0,68.2,0.5824175824175825,1758114571.157182
,normal,normal,20.44391632080078,0.0,68.2,0.5869565217391305,1758114571.181335
,normal,normal,23.24199676513672,0.0,68.2,0.5913978494623656,1758114571.208252
,normal,normal,23.46515655517578,0.0,68.2,0.5957446808510638,1758114571.235265
,normal,rolling element failure,21.72088623046875,0.0,68.2,0.5894736842105263,1758114571.2606761
,normal,normal,21.378755569458008,0.0,68.2,0.59375,1758114571.285839
,normal,normal,21.75426483154297,0.0,68.2,0.5979381443298969,1758114571.311112
,normal,normal,21.832942962646484,0.0,68.2,0.6020408163265306,1758114571.3365078
,normal,suspect,23.38576316833496,0.0,68.2,0.5959595959595959,1758114571.363403
,suspect,suspect,23.447036743164062,0.0,68.2,0.6,1758114571.390309
,normal,normal,23.706912994384766,0.0,68.2,0.6039603960396039,1758114571.418359
,normal,suspect,24.488210678100586,0.0,68.2,0.5980392156862745,1758114571.446549
,normal,stage 2 failure,21.296024322509766,0.0,68.2,0.5922330097087378,1758114571.47135
,normal,suspect,21.260976791381836,0.0,68.2,0.5865384615384616,1758114571.496156
,normal,normal,23.08511734008789,0.0,68.2,0.5904761904761905,1758114571.52277
,normal,normal,22.190093994140625,0.0,68.2,0.5943396226415094,1758114571.54865
,normal,normal,23.47111701965332,0.0,68.2,0.5981308411214953,1758114571.575671
,normal,normal,20.509004592895508,0.0,68.2,0.6018518518518519,1758114571.599581
,normal,normal,21.218061447143555,0.0,68.2,0.6055045871559633,1758114571.624243
,normal,normal,20.874977111816406,0.0,68.2,0.6090909090909091,1758114571.648648
,normal,normal,23.376941680908203,0.0,68.2,0.6126126126126126,1758114571.675542
,normal,suspect,21.744966506958008,0.0,68.2,0.6071428571428571,1758114571.700833
,normal,early,23.38099479675293,0.0,68.2,0.6017699115044248,1758114571.727715
,normal,early,23.116111755371094,0.0,68.2,0.5964912280701754,1758114571.7543612
,normal,early,22.727012634277344,0.0,68.2,0.591304347826087,1758114571.780629
,normal,normal,23.894071578979492,0.0,68.2,0.5948275862068966,1758114571.80814
,normal,normal,22.955894470214844,0.0,68.2,0.5982905982905983,1758114571.8346088
,normal,normal,23.59604835510254,51.4,68.2,0.6016949152542372,1758114571.861844
,normal,normal,21.810054779052734,45.8,68.2,0.6050420168067226,1758114571.8871949
,normal,suspect,21.800994873046875,41.7,68.2,0.6,1758114571.912607
,normal,normal,22.06897735595703,48.1,68.2,0.6033057851239669,1758114571.939063
,normal,normal,23.66328239440918,33.3,68.2,0.6065573770491803,1758114571.966321
,normal,rolling element failure,23.102998733520508,37.9,68.2,0.6016260162601627,1758114571.9929888
