id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;mode;profile;;;lat;cpu;mem
;early;early;3050,54903;0;3,038024902;1;1758284006;dl;rpi3;;;28,66276522;2,332200835;1,277540417
;early;early;31,86392784;51,5;3,049516678;1;1758284006;dl;rpi3;;;;;
;early;early;22,81212807;51,1;3,052139282;1;1758284006;dl;rpi3;;;;;
;early;early;22,46189117;50,9;3,061437607;1;1758284006;dl;rpi3;;;;;
;suspect;normal;23,60391617;50,7;3,069972992;0,8;1758284006;dl;rpi3;;;;;
;normal;normal;22,69792557;51;3,071022034;0,833333333;1758284006;dl;rpi3;;;;;
;normal;normal;24,76286888;50;3,071022034;0,857142857;1758284006;dl;rpi3;;;;;
;rolling element failure;suspect;20,44796944;55,9;3,063726425;0,75;1758284006;dl;rpi3;;;;;
;suspect;normal;20,21193504;56,3;3,071117401;0,666666667;1758284006;dl;rpi3;;;;;
;normal;normal;23,09679985;50,3;3,073453903;0,7;1758284006;dl;rpi3;;;;;
;normal;normal;24,70397949;51,6;3,073549271;0,727272727;1758284006;dl;rpi3;;;;;
;rolling element failure;suspect;20,09820938;56,3;3,07598114;0,666666667;1758284006;dl;rpi3;;;;;
;suspect;suspect;22,36914635;55,7;3,077507019;0,692307692;1758284006;dl;rpi3;;;;;
;normal;normal;25,09903908;48,4;3,078651428;0,714285714;1758284006;dl;rpi3;;;;;
;normal;suspect;22,38273621;50,2;3,079175949;0,666666667;1758284006;dl;rpi3;;;;;
;rolling element failure;rolling element failure;22,00913429;51,5;3,080654144;0,6875;1758284006;dl;rpi3;;;;;
;suspect;normal;23,91195297;50,1;3,080749512;0,647058824;1758284006;dl;rpi3;;;;;
;normal;normal;24,49989319;50;3,080749512;0,666666667;1758284006;dl;rpi3;;;;;
;normal;normal;18,7959671;57,6;3,080749512;0,684210526;1758284006;dl;rpi3;;;;;
;normal;suspect;22,31192589;49,4;3,080797195;0,65;1758284006;dl;rpi3;;;;;
;suspect;normal;21,25906944;52;3,081226349;0,619047619;1758284006;dl;rpi3;;;;;
;normal;normal;21,93808556;50,4;3,081226349;0,636363636;1758284006;dl;rpi3;;;;;
;normal;normal;23,93603325;49,2;3,081226349;0,652173913;1758284006;dl;rpi3;;;;;
;normal;normal;20,67995071;56,6;3,081226349;0,666666667;1758284006;dl;rpi3;;;;;
;suspect;suspect;23,79608154;49,9;3,081226349;0,68;1758284006;dl;rpi3;;;;;
;normal;normal;22,65810966;49,5;3,081226349;0,692307692;1758284006;dl;rpi3;;;;;
;normal;normal;22,83120155;49,6;3,081226349;0,703703704;1758284006;dl;rpi3;;;;;
;rolling element failure;rolling element failure;22,7599144;49,8;3,081226349;0,714285714;1758284006;dl;rpi3;;;;;
;suspect;suspect;23,09083939;56;3,081178665;0,724137931;1758284006;dl;rpi3;;;;;
;normal;normal;21,61884308;51;3,081178665;0,733333333;1758284007;dl;rpi3;;;;;
;suspect;suspect;23,05388451;50,9;3,081226349;0,741935484;1758284007;dl;rpi3;;;;;
;rolling element failure;stage 2 failure;24,45697784;49,1;3,081226349;0,71875;1758284007;dl;rpi3;;;;;
;suspect;suspect;20,10679245;57;3,081226349;0,727272727;1758284007;dl;rpi3;;;;;
;normal;early;20,85661888;53,8;3,081607819;0,705882353;1758284007;dl;rpi3;;;;;
;normal;early;23,60606194;50,4;3,081607819;0,685714286;1758284007;dl;rpi3;;;;;
;rolling element failure;normal;23,37098122;50;3,091239929;0,666666667;1758284007;dl;rpi3;;;;;
;suspect;normal;22,03392982;50,1;3,091669083;0,648648649;1758284007;dl;rpi3;;;;;
;normal;normal;23,36096764;50,7;3,091669083;0,657894737;1758284007;dl;rpi3;;;;;
;normal;normal;23,29587936;50,6;3,091669083;0,666666667;1758284007;dl;rpi3;;;;;
;rolling element failure;suspect;21,91591263;50,2;3,09176445;0,65;1758284007;dl;rpi3;;;;;
;normal;early;21,09789848;58,2;3,09176445;0,634146341;1758284007;dl;rpi3;;;;;
;early;early;22,6919651;50,3;3,09176445;0,642857143;1758284007;dl;rpi3;;;;;
;early;early;22,90725708;50,4;3,09176445;0,651162791;1758284007;dl;rpi3;;;;;
;early;early;19,83809471;54,3;3,09176445;0,659090909;1758284007;dl;rpi3;;;;;
;suspect;suspect;21,96097374;50,8;3,091812134;0,666666667;1758284007;dl;rpi3;;;;;
;normal;early;23,59604836;49,2;3,091812134;0,652173913;1758284007;dl;rpi3;;;;;
;normal;early;22,65787125;50,9;3,093385696;0,638297872;1758284007;dl;rpi3;;;;;
;normal;early;23,45705032;49,7;3,102970123;0,625;1758284007;dl;rpi3;;;;;
;suspect;normal;22,315979;50,4;3,102970123;0,612244898;1758284007;dl;rpi3;;;;;
;normal;normal;24,25718307;49,6;3,102970123;0,62;1758284007;dl;rpi3;;;;;
;normal;normal;22,95684814;51,5;3,102970123;0,62745098;1758284007;dl;rpi3;;;;;
;normal;normal;23,18382263;51;3,102970123;0,634615385;1758284007;dl;rpi3;;;;;
;suspect;suspect;22,30620384;51,3;3,102970123;0,641509434;1758284007;dl;rpi3;;;;;
;normal;normal;25,22397041;48,4;3,103017807;0,648148148;1758284007;dl;rpi3;;;;;
;normal;normal;24,66511726;49,1;3,103017807;0,654545455;1758284007;dl;rpi3;;;;;
;normal;normal;23,29277992;50,4;3,103017807;0,660714286;1758284007;dl;rpi3;;;;;
;suspect;normal;23,95987511;48,9;3,103017807;0,649122807;1758284007;dl;rpi3;;;;;
;normal;normal;21,86894417;51,4;3,103065491;0,655172414;1758284007;dl;rpi3;;;;;
;normal;normal;22,35126495;50,1;3,103065491;0,661016949;1758284007;dl;rpi3;;;;;
;normal;suspect;24,31321144;48,5;3,103065491;0,65;1758284007;dl;rpi3;;;;;
;suspect;suspect;21,59428596;54,8;3,103065491;0,655737705;1758284007;dl;rpi3;;;;;
;normal;normal;23,53215218;49,6;3,103065491;0,661290323;1758284007;dl;rpi3;;;;;
;normal;normal;21,7769146;52,1;3,103065491;0,666666667;1758284007;dl;rpi3;;;;;
;rolling element failure;rolling element failure;22,65691757;49,5;3,103065491;0,671875;1758284007;dl;rpi3;;;;;
;suspect;suspect;23,94509315;48,7;3,103113174;0,676923077;1758284007;dl;rpi3;;;;;
;normal;early;22,68218994;51,9;3,103113174;0,666666667;1758284007;dl;rpi3;;;;;
;normal;early;22,80497551;51,8;3,103113174;0,656716418;1758284007;dl;rpi3;;;;;
;rolling element failure;normal;20,58076859;52,2;3,103113174;0,647058824;1758284008;dl;rpi3;;;;;
;suspect;suspect;20,3371048;56,5;3,103113174;0,652173913;1758284008;dl;rpi3;;;;;
;normal;suspect;24,53017235;48,2;3,103113174;0,642857143;1758284008;dl;rpi3;;;;;
;suspect;suspect;22,14884758;50,3;3,103113174;0,647887324;1758284008;dl;rpi3;;;;;
;stage 2 failure;stage 2 failure;22,27711678;52,7;3,103113174;0,652777778;1758284008;dl;rpi3;;;;;
;suspect;suspect;23,22816849;50,3;3,103113174;0,657534247;1758284008;dl;rpi3;;;;;
;normal;normal;22,20106125;50,9;3,103113174;0,662162162;1758284008;dl;rpi3;;;;;
;normal;normal;19,54817772;56,6;3,103160858;0,666666667;1758284008;dl;rpi3;;;;;
;normal;normal;23,70405197;49,6;3,103160858;0,671052632;1758284008;dl;rpi3;;;;;
