id,pred,true,latency_ms,cpu_percent,mem_percent,accuracy_cumulative,timestamp
,early,early,20.13993263244629,46.9,52.4,1.0,1758112378.908621
,normal,normal,24.906158447265625,80.0,52.4,1.0,1758112378.937985
,normal,normal,23.135900497436523,75.0,52.4,1.0,1758112378.965178
,imminent failure,normal,21.075963973999023,80.8,52.4,0.75,1758112378.990158
,early,suspect,20.23601531982422,78.3,52.4,0.6,1758112379.014307
,normal,normal,20.851850509643555,0.0,52.4,0.6666666666666666,1758112379.038972
,normal,normal,20.14303207397461,0.0,52.4,0.7142857142857143,1758112379.063017
,suspect,normal,22.277116775512695,0.0,52.4,0.625,1758112379.089559
,early,suspect,19.94800567626953,0.0,52.4,0.5555555555555556,1758112379.113547
,normal,suspect,21.010875701904297,0.0,52.4,0.5,1758112379.138484
,normal,normal,22.59683609008789,0.0,52.4,0.5454545454545454,1758112379.1649761
,imminent failure,suspect,20.617961883544922,0.0,52.4,0.5,1758112379.189547
,imminent failure,rolling element failure,18.124103546142578,0.0,52.4,0.46153846153846156,1758112379.211637
,normal,normal,18.201112747192383,0.0,52.4,0.5,1758112379.2336798
,normal,normal,20.25604248046875,0.0,52.4,0.5333333333333333,1758112379.257931
,imminent failure,normal,20.235061645507812,0.0,52.4,0.5,1758112379.282083
,normal,suspect,20.007848739624023,0.0,52.4,0.47058823529411764,1758112379.306102
,normal,normal,19.052743911743164,0.0,52.4,0.5,1758112379.3290298
,normal,normal,18.624067306518555,0.0,52.4,0.5263157894736842,1758112379.351651
,stage 2 failure,normal,19.09804344177246,0.0,52.4,0.5,1758112379.3747468
,early,normal,26.450157165527344,0.0,52.4,0.47619047619047616,1758112379.4092748
,normal,suspect,18.891096115112305,0.0,52.4,0.45454545454545453,1758112379.432089
,normal,normal,17.214059829711914,0.0,52.4,0.4782608695652174,1758112379.453171
,early,normal,18.53632926940918,0.0,52.4,0.4583333333333333,1758112379.4757361
,early,rolling element failure,22.726774215698242,0.0,52.4,0.44,1758112379.5026271
,normal,suspect,18.704891204833984,0.0,52.4,0.4230769230769231,1758112379.5251698
,normal,normal,19.852161407470703,0.0,52.4,0.4444444444444444,1758112379.548811
,imminent failure,suspect,18.932819366455078,0.0,52.4,0.42857142857142855,1758112379.571604
,imminent failure,stage 2 failure,20.90597152709961,0.0,52.4,0.41379310344827586,1758112379.596428
,normal,suspect,19.318103790283203,0.0,52.4,0.4,1758112379.619657
,normal,early,19.44589614868164,0.0,52.4,0.3870967741935484,1758112379.6430662
,imminent failure,early,20.433902740478516,0.0,52.4,0.375,1758112379.6673222
,early,normal,20.328998565673828,0.0,52.4,0.36363636363636365,1758112379.691627
,normal,normal,19.482135772705078,0.0,52.4,0.38235294117647056,1758112379.714962
,normal,normal,20.06673812866211,0.0,52.4,0.4,1758112379.739006
,early,normal,20.00737190246582,0.0,52.4,0.3888888888888889,1758112379.762837
,early,suspect,19.041061401367188,0.0,52.4,0.3783783783783784,1758112379.785726
,early,early,19.649028778076172,0.0,52.4,0.39473684210526316,1758112379.809411
,early,early,18.22495460510254,0.0,52.4,0.41025641025641024,1758112379.831424
,early,early,19.300222396850586,0.0,52.4,0.425,1758112379.854568
,early,early,18.74995231628418,0.0,52.4,0.43902439024390244,1758112379.877929
,normal,suspect,19.237756729125977,0.0,52.4,0.42857142857142855,1758112379.9011798
,normal,early,16.51787757873535,66.7,52.5,0.4186046511627907,1758112379.92151
,stage 2 failure,early,19.106149673461914,39.1,52.5,0.4090909090909091,1758112379.944282
,early,early,20.910024642944336,45.8,52.5,0.4222222222222222,1758112379.9690628
,normal,normal,18.559932708740234,44.0,52.5,0.43478260869565216,1758112379.991628
,normal,normal,21.409034729003906,39.1,52.5,0.44680851063829785,1758112380.016821
,early,normal,18.238067626953125,0.0,52.5,0.4375,1758112380.039006
,early,normal,18.76211166381836,0.0,52.5,0.42857142857142855,1758112380.061538
,normal,suspect,18.687963485717773,0.0,52.5,0.42,1758112380.083936
,normal,normal,19.117116928100586,0.0,52.5,0.43137254901960786,1758112380.1069481
,early,normal,15.722990036010742,0.0,52.5,0.4230769230769231,1758112380.126546
,early,normal,21.206140518188477,0.0,52.5,0.41509433962264153,1758112380.151585
,normal,normal,20.15519142150879,0.0,52.5,0.42592592592592593,1758112380.175529
,normal,normal,17.897367477416992,0.0,52.5,0.43636363636363634,1758112380.197196
,stage 2 failure,normal,20.13087272644043,0.0,52.5,0.42857142857142855,1758112380.221178
,early,suspect,17.534971237182617,0.0,52.5,0.42105263157894735,1758112380.242513
,normal,suspect,18.45407485961914,0.0,52.5,0.41379310344827586,1758112380.264554
,normal,normal,19.282817840576172,0.0,52.5,0.423728813559322,1758112380.287648
,imminent failure,normal,20.25008201599121,0.0,52.5,0.4166666666666667,1758112380.311767
,imminent failure,rolling element failure,18.332958221435547,0.0,52.5,0.4098360655737705,1758112380.335052
,normal,suspect,19.197940826416016,0.0,52.5,0.4032258064516129,1758112380.358022
,normal,early,17.73691177368164,0.0,52.5,0.3968253968253968,1758112380.379801
,early,early,18.795013427734375,0.0,52.5,0.40625,1758112380.402355
,early,normal,19.90199089050293,0.0,52.5,0.4,1758112380.426142
,normal,suspect,18.724918365478516,0.0,52.5,0.3939393939393939,1758112380.448643
,normal,suspect,15.732049942016602,0.0,52.5,0.3880597014925373,1758112380.468176
,stage 2 failure,suspect,19.283056259155273,0.0,52.5,0.38235294117647056,1758112380.491436
,imminent failure,stage 2 failure,23.205041885375977,0.0,52.5,0.37681159420289856,1758112380.518646
,normal,suspect,20.32184600830078,0.0,52.5,0.37142857142857144,1758112380.542933
,normal,normal,19.659042358398438,0.0,52.5,0.38028169014084506,1758112380.566497
,early,normal,20.079851150512695,0.0,52.5,0.375,1758112380.590608
,early,normal,31.766891479492188,0.0,52.5,0.3698630136986301,1758112380.626987
,normal,suspect,18.702030181884766,0.0,52.5,0.36486486486486486,1758112380.649639
,normal,suspect,20.354032516479492,0.0,52.5,0.36,1758112380.673763
,inner race failure,suspect,20.7669734954834,0.0,52.5,0.35526315789473684,1758112380.698529
,imminent failure,stage 2 failure,19.802093505859375,0.0,52.5,0.35064935064935066,1758112380.7224052
,early,early,19.003868103027344,0.0,52.5,0.358974358974359,1758112380.7452438
,early,early,20.725011825561523,0.0,52.5,0.3670886075949367,1758112380.769839
,early,early,19.48070526123047,0.0,52.5,0.375,1758112380.7932742
,early,early,19.061803817749023,0.0,52.5,0.38271604938271603,1758112380.816975
,early,early,19.05679702758789,0.0,52.5,0.3902439024390244,1758112380.84001
,early,early,19.938945770263672,0.0,52.5,0.39759036144578314,1758112380.863914
,early,early,20.751953125,0.0,52.5,0.40476190476190477,1758112380.888691
,early,early,21.521806716918945,0.0,52.5,0.4117647058823529,1758112380.914059
,normal,suspect,21.245956420898438,52.0,52.6,0.4069767441860465,1758112380.939171
,normal,normal,20.012855529785156,41.7,52.6,0.41379310344827586,1758112380.963231
,imminent failure,suspect,19.67597007751465,50.0,52.6,0.4090909090909091,1758112380.986908
,stage 2 failure,rolling element failure,18.6460018157959,42.9,52.6,0.4044943820224719,1758112381.009424
,normal,normal,18.40519905090332,50.0,52.6,0.4111111111111111,1758112381.031651
,normal,normal,19.84715461730957,58.3,52.6,0.4175824175824176,1758112381.0553658
,imminent failure,normal,20.576000213623047,50.0,52.6,0.41304347826086957,1758112381.0798578
,early,rolling element failure,19.590139389038086,47.8,52.6,0.40860215053763443,1758112381.103505
,normal,normal,19.68097686767578,45.8,52.6,0.4148936170212766,1758112381.127251
,normal,normal,19.615888595581055,0.0,52.6,0.42105263157894735,1758112381.150728
,imminent failure,normal,19.38319206237793,0.0,52.6,0.4166666666666667,1758112381.174004
,early,suspect,18.96381378173828,0.0,52.6,0.41237113402061853,1758112381.196794
,normal,suspect,20.428180694580078,0.0,52.6,0.40816326530612246,1758112381.221044
,normal,normal,18.8143253326416,0.0,52.6,0.41414141414141414,1758112381.243927
,stage 2 failure,suspect,18.801212310791016,0.0,52.6,0.41,1758112381.266637
,imminent failure,stage 2 failure,18.999814987182617,0.0,52.6,0.40594059405940597,1758112381.290433
,normal,suspect,20.06077766418457,0.0,52.6,0.4019607843137255,1758112381.314522
,normal,normal,18.43404769897461,0.0,52.6,0.4077669902912621,1758112381.336892
,early,normal,19.22917366027832,0.0,52.6,0.40384615384615385,1758112381.36009
,early,normal,21.223783493041992,0.0,52.6,0.4,1758112381.385227
,normal,normal,20.010948181152344,0.0,52.6,0.4056603773584906,1758112381.4090729
,normal,normal,20.95484733581543,0.0,52.6,0.411214953271028,1758112381.4341052
,imminent failure,normal,21.53801918029785,0.0,52.6,0.4074074074074074,1758112381.4594939
,early,normal,19.150733947753906,0.0,52.6,0.4036697247706422,1758112381.482561
,normal,suspect,19.793987274169922,0.0,52.6,0.4,1758112381.50636
,normal,early,20.827293395996094,0.0,52.6,0.3963963963963964,1758112381.5310662
,early,early,20.728111267089844,0.0,52.6,0.4017857142857143,1758112381.555615
,early,early,21.271228790283203,0.0,52.6,0.40707964601769914,1758112381.580658
,normal,normal,19.427061080932617,0.0,52.6,0.41228070175438597,1758112381.603882
,normal,normal,16.58916473388672,0.0,52.6,0.41739130434782606,1758112381.6242619
,early,normal,19.683837890625,0.0,52.6,0.41379310344827586,1758112381.647866
,early,normal,19.932985305786133,0.0,52.6,0.41025641025641024,1758112381.67184
,normal,suspect,20.141124725341797,0.0,52.6,0.4067796610169492,1758112381.6958878
,normal,normal,20.512104034423828,0.0,52.6,0.4117647058823529,1758112381.7203898
,imminent failure,normal,18.90707015991211,0.0,52.6,0.4083333333333333,1758112381.743383
,stage 2 failure,rolling element failure,22.61209487915039,0.0,52.6,0.4049586776859504,1758112381.771041
,normal,normal,18.166065216064453,0.0,52.6,0.4098360655737705,1758112381.793159
,normal,normal,18.29218864440918,0.0,52.6,0.4146341463414634,1758112381.815537
,stage 2 failure,normal,17.441987991333008,0.0,52.6,0.4112903225806452,1758112381.836769
,early,suspect,20.198822021484375,0.0,52.6,0.408,1758112381.860925
,early,early,19.536972045898438,0.0,52.6,0.4126984126984127,1758112381.8842912
,early,early,18.948078155517578,0.0,52.6,0.41732283464566927,1758112381.907257
,early,early,20.11704444885254,0.0,52.6,0.421875,1758112381.931273
,early,early,19.016027450561523,48.0,52.7,0.4263565891472868,1758112381.954219
,normal,suspect,17.974138259887695,39.1,52.7,0.4230769230769231,1758112381.975862
