id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;mode;profile;;lat;cpu;mem
;early;early;39,10398483;0;0,812387466;1;1758787134;ml;rpi3;;32,42263957;2,307247217;0,469840098
;early;early;23,33426476;53,9;0,84066391;1;1758787134;ml;rpi3;;;;
;early;early;23,64397049;56,6;0,854444504;1;1758787134;ml;rpi3;;;;
;early;early;19,064188;57,8;0,864648819;1;1758787134;ml;rpi3;;;;
;normal;normal;19,47212219;58,7;0,878715515;1;1758787134;ml;rpi3;;;;
;normal;normal;18,00608635;60;0,886106491;1;1758787134;ml;rpi3;;;;
;imminent failure;normal;23,4439373;55,7;0,901937485;0,857142857;1758787134;ml;rpi3;;;;
;early;suspect;18,0542469;58,6;0,906896591;0,75;1758787134;ml;rpi3;;;;
;normal;normal;19,6018219;58,6;0,919342041;0,777777778;1758787134;ml;rpi3;;;;
;normal;normal;21,91400528;47,4;0,929403305;0,8;1758787134;ml;rpi3;;;;
;suspect;normal;20,70808411;39,4;0,934076309;0,727272727;1758787134;ml;rpi3;;;;
;early;suspect;20,49422264;39,5;0,934267044;0,666666667;1758787134;ml;rpi3;;;;
;normal;suspect;20,22981644;39,5;0,936603546;0,615384615;1758787134;ml;rpi3;;;;
;normal;normal;19,66905594;39,9;0,93960762;0,642857143;1758787134;ml;rpi3;;;;
;imminent failure;suspect;23,43320847;38,2;0,944519043;0,6;1758787134;ml;rpi3;;;;
;imminent failure;rolling element failure;18,93401146;40;0,947093964;0,5625;1758787134;ml;rpi3;;;;
;normal;normal;18,97478104;40;0,947380066;0,588235294;1758787134;ml;rpi3;;;;
;normal;normal;20,61295509;39,4;0,949525833;0,611111111;1758787134;ml;rpi3;;;;
;imminent failure;normal;19,43087578;40;0,950098038;0,578947368;1758787134;ml;rpi3;;;;
;normal;suspect;22,18198776;38,4;0,952148438;0,55;1758787134;ml;rpi3;;;;
;normal;normal;23,49114418;40,7;0,981998444;0,571428571;1758787134;ml;rpi3;;;;
;normal;normal;20,44796944;39,3;0,982379913;0,590909091;1758787134;ml;rpi3;;;;
;stage 2 failure;normal;21,37994766;41,5;0,984334946;0,565217391;1758787134;ml;rpi3;;;;
;early;normal;18,55635643;40,9;0,984525681;0,541666667;1758787134;ml;rpi3;;;;
;normal;suspect;21,02279663;39;0,988101959;0,52;1758787134;ml;rpi3;;;;
;normal;normal;19,21105385;39,9;0,988292694;0,538461538;1758787134;ml;rpi3;;;;
;early;normal;18,99909973;40,5;0,988817215;0,518518519;1758787134;ml;rpi3;;;;
;early;rolling element failure;28,59091759;36,7;0,997400284;0,5;1758787134;ml;rpi3;;;;
;normal;suspect;22,92370796;39,9;0,997781754;0,482758621;1758787134;ml;rpi3;;;;
;normal;normal;20,04671097;40,1;0,998020172;0,5;1758787134;ml;rpi3;;;;
;imminent failure;suspect;18,86701584;40,3;0,998210907;0,483870968;1758787134;ml;rpi3;;;;
;imminent failure;stage 2 failure;20,8158493;39,3;0,99902153;0,46875;1758787134;ml;rpi3;;;;
;normal;suspect;18,92209053;40,2;0,999307632;0,454545455;1758787135;ml;rpi3;;;;
;normal;early;18,83888245;40,2;0,999593735;0,441176471;1758787135;ml;rpi3;;;;
;imminent failure;early;21,22402191;39,1;0,999832153;0,428571429;1758787135;ml;rpi3;;;;
;early;normal;18,33987236;40,5;1,000022888;0,416666667;1758787135;ml;rpi3;;;;
;normal;normal;23,58913422;38,8;1,001501083;0,432432432;1758787135;ml;rpi3;;;;
;normal;normal;20,88212967;39,6;1,001787186;0,447368421;1758787135;ml;rpi3;;;;
;early;normal;19,17386055;40,2;1,002025604;0,435897436;1758787135;ml;rpi3;;;;
;early;suspect;20,74289322;39,2;1,002454758;0,425;1758787135;ml;rpi3;;;;
;early;early;20,43604851;43,2;1,00274086;0,43902439;1758787135;ml;rpi3;;;;
;early;early;18,83912086;40,6;1,003885269;0,452380952;1758787135;ml;rpi3;;;;
;early;early;20,16186714;39,4;1,004123688;0,465116279;1758787135;ml;rpi3;;;;
;early;early;23,47993851;38,3;1,00440979;0,477272727;1758787135;ml;rpi3;;;;
;normal;suspect;19,81735229;39,7;1,004600525;0,466666667;1758787135;ml;rpi3;;;;
;normal;early;20,47491074;39,6;1,004838943;0,456521739;1758787135;ml;rpi3;;;;
;stage 2 failure;early;21,71492577;38,9;1,005268097;0,446808511;1758787135;ml;rpi3;;;;
;early;early;20,37930489;39,5;1,005458832;0,458333333;1758787135;ml;rpi3;;;;
;normal;normal;20,67995071;39,6;1,005935669;0,469387755;1758787135;ml;rpi3;;;;
;normal;normal;19,64783669;39,6;1,006126404;0,48;1758787135;ml;rpi3;;;;
;early;normal;19,93823051;39,7;1,006412506;0,470588235;1758787135;ml;rpi3;;;;
;early;normal;22,79090881;38,4;1,006793976;0,461538462;1758787135;ml;rpi3;;;;
;normal;suspect;19,00172234;39,7;1,007080078;0,452830189;1758787135;ml;rpi3;;;;
;normal;normal;18,54276657;40,1;1,007318497;0,462962963;1758787135;ml;rpi3;;;;
;early;normal;19,43993568;39,5;1,007509232;0,454545455;1758787135;ml;rpi3;;;;
;early;normal;17,32206345;41,3;1,00774765;0,446428571;1758787135;ml;rpi3;;;;
;normal;normal;19,09923553;40,5;1,007938385;0,456140351;1758787135;ml;rpi3;;;;
;normal;normal;18,13411713;40,1;1,00812912;0,465517241;1758787135;ml;rpi3;;;;
;stage 2 failure;normal;20,73097229;39,5;1,00851059;0,457627119;1758787135;ml;rpi3;;;;
;early;suspect;20,16496658;39,1;1,008701324;0,45;1758787135;ml;rpi3;;;;
;normal;suspect;22,4468708;40,9;1,008939743;0,442622951;1758787135;ml;rpi3;;;;
;normal;normal;18,64814758;43,4;1,009178162;0,451612903;1758787135;ml;rpi3;;;;
;imminent failure;normal;21,19803429;42,8;1,009464264;0,444444444;1758787135;ml;rpi3;;;;
;imminent failure;rolling element failure;17,33899117;40,9;1,010274887;0,4375;1758787135;ml;rpi3;;;;
;normal;suspect;20,84207535;39,2;1,010656357;0,430769231;1758787135;ml;rpi3;;;;
;normal;early;19,08779144;39,7;1,010894775;0,424242424;1758787135;ml;rpi3;;;;
;early;early;19,5710659;40,1;1,01108551;0,432835821;1758787135;ml;rpi3;;;;
;early;normal;20,86400986;39,3;1,011371613;0,426470588;1758787135;ml;rpi3;;;;
;normal;suspect;19,21987534;40,2;1,011562347;0,420289855;1758787135;ml;rpi3;;;;
;normal;suspect;20,71905136;39,7;1,011800766;0,414285714;1758787135;ml;rpi3;;;;
;stage 2 failure;suspect;22,32289314;38,8;1,012182236;0,408450704;1758787135;ml;rpi3;;;;
;imminent failure;stage 2 failure;19,4747448;39,6;1,012372971;0,402777778;1758787135;ml;rpi3;;;;
;normal;suspect;22,97210693;38,4;1,012563705;0,397260274;1758787135;ml;rpi3;;;;
;normal;normal;19,68407631;39,7;1,012849808;0,405405405;1758787135;ml;rpi3;;;;
;early;normal;20,94268799;39,4;1,013040543;0,4;1758787136;ml;rpi3;;;;
;early;normal;23,90027046;37,9;1,013374329;0,394736842;1758787136;ml;rpi3;;;;
;normal;suspect;19,60301399;39,7;1,013612747;0,38961039;1758787136;ml;rpi3;;;;
;normal;suspect;23,11873436;38,3;1,013946533;0,384615385;1758787136;ml;rpi3;;;;
;inner race failure;suspect;18,71204376;43,8;1,014566422;0,379746835;1758787136;ml;rpi3;;;;
;imminent failure;stage 2 failure;19,39368248;40,3;1,014757156;0,375;1758787136;ml;rpi3;;;;
