id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;mode;profile;;lat;cpu;mem
;normal;early;37,23597527;0;1,451778412;0;1758295134;ml;rpi3;;29,17644453;2,150718924;0,805921457
;normal;early;18,79286766;56,7;1,476716995;0;1758295134;ml;rpi3;;;;
;normal;early;13,85092735;63;1,487588882;0;1758295134;ml;rpi3;;;;
;normal;early;15,5081749;64,2;1,500272751;0;1758295134;ml;rpi3;;;;
;normal;normal;15,08784294;64,2;1,51014328;0,2;1758295134;ml;rpi3;;;;
;normal;normal;16,1178112;59,3;1,521444321;0,333333333;1758295134;ml;rpi3;;;;
;stage 2 failure;normal;13,18287849;64,7;1,531839371;0,285714286;1758295134;ml;rpi3;;;;
;normal;suspect;15,32006264;61,7;1,541042328;0,25;1758295134;ml;rpi3;;;;
;normal;normal;17,131567;52,9;1,551628113;0,333333333;1758295134;ml;rpi3;;;;
;normal;normal;15,83313942;41,9;1,555347443;0,4;1758295134;ml;rpi3;;;;
;stage 2 failure;normal;14,18018341;46,8;1,562547684;0,363636364;1758295134;ml;rpi3;;;;
;normal;suspect;16,62111282;41,3;1,562738419;0,333333333;1758295134;ml;rpi3;;;;
;imminent failure;suspect;15,69700241;42,1;1,563262939;0,307692308;1758295134;ml;rpi3;;;;
;normal;normal;15,23399353;42,2;1,563930511;0,357142857;1758295134;ml;rpi3;;;;
;imminent failure;suspect;14,23096657;42,9;1,564121246;0,333333333;1758295134;ml;rpi3;;;;
;imminent failure;rolling element failure;11,51418686;47,9;1,565408707;0,3125;1758295134;ml;rpi3;;;;
;normal;normal;12,88771629;43,8;1,565599442;0,352941176;1758295134;ml;rpi3;;;;
;normal;normal;14,47987556;42,6;1,56583786;0,388888889;1758295134;ml;rpi3;;;;
;stage 2 failure;normal;14,80770111;44,7;1,566076279;0,368421053;1758295134;ml;rpi3;;;;
;normal;suspect;16,43300056;41,2;1,566314697;0,35;1758295134;ml;rpi3;;;;
;normal;normal;15,81382751;43,8;1,569890976;0,380952381;1758295134;ml;rpi3;;;;
;normal;normal;13,16690445;43,5;1,570081711;0,409090909;1758295134;ml;rpi3;;;;
;stage 2 failure;normal;15,7790184;41,9;1,570415497;0,391304348;1758295134;ml;rpi3;;;;
;normal;normal;14,29104805;43,5;1,570749283;0,416666667;1758295134;ml;rpi3;;;;
;normal;suspect;13,89980316;43,5;1,570987701;0,4;1758295134;ml;rpi3;;;;
;normal;normal;14,0171051;42,3;1,571178436;0,423076923;1758295134;ml;rpi3;;;;
;stage 2 failure;normal;16,00694656;42;1,571464539;0,407407407;1758295134;ml;rpi3;;;;
;normal;rolling element failure;16,67618752;41,6;1,571702957;0,392857143;1758295134;ml;rpi3;;;;
;normal;suspect;15,85507393;42,2;1,571941376;0,379310345;1758295134;ml;rpi3;;;;
;normal;normal;15,20371437;42,7;1,572179794;0,4;1758295134;ml;rpi3;;;;
;imminent failure;suspect;17,13514328;40,8;1,572418213;0,387096774;1758295134;ml;rpi3;;;;
;imminent failure;stage 2 failure;15,4747963;42,4;1,572656631;0,375;1758295134;ml;rpi3;;;;
;normal;suspect;15,96522331;42,2;1,572847366;0,363636364;1758295135;ml;rpi3;;;;
;normal;early;14,45603371;42,6;1,573085785;0,352941176;1758295135;ml;rpi3;;;;
;stage 2 failure;early;17,45510101;40,7;1,573324203;0,342857143;1758295135;ml;rpi3;;;;
;normal;normal;17,08602905;42,5;1,57456398;0,361111111;1758295135;ml;rpi3;;;;
;normal;normal;16,55602455;41,8;1,577997208;0,378378378;1758295135;ml;rpi3;;;;
;normal;normal;16,60490036;41,3;1,578187943;0,394736842;1758295135;ml;rpi3;;;;
;stage 2 failure;normal;13,77606392;43,4;1,578378677;0,384615385;1758295135;ml;rpi3;;;;
;normal;suspect;14,92905617;45,8;1,578569412;0,375;1758295135;ml;rpi3;;;;
;normal;early;16,78490639;46,9;1,578807831;0,365853659;1758295135;ml;rpi3;;;;
;normal;early;16,49212837;43;1,579046249;0,357142857;1758295135;ml;rpi3;;;;
;normal;early;13,82088661;43,4;1,579380035;0,348837209;1758295135;ml;rpi3;;;;
;normal;early;15,49530029;42,5;1,579713821;0,340909091;1758295135;ml;rpi3;;;;
;normal;suspect;13,7090683;43,3;1,579904556;0,333333333;1758295135;ml;rpi3;;;;
;normal;early;12,93992996;43,6;1,580095291;0,326086957;1758295135;ml;rpi3;;;;
;stage 2 failure;early;14,62292671;43;1,580286026;0,319148936;1758295135;ml;rpi3;;;;
;normal;early;14,34111595;44;1,580476761;0,3125;1758295135;ml;rpi3;;;;
;normal;normal;13,56387138;44,1;1,580715179;0,326530612;1758295135;ml;rpi3;;;;
;normal;normal;13,69690895;43,1;1,580905914;0,34;1758295135;ml;rpi3;;;;
;stage 2 failure;normal;13,27800751;44,3;1,581144333;0,333333333;1758295135;ml;rpi3;;;;
;normal;normal;12,77589798;43,9;1,581382751;0,346153846;1758295135;ml;rpi3;;;;
;normal;suspect;12,55178452;44;1,581573486;0,339622642;1758295135;ml;rpi3;;;;
;normal;normal;13,41509819;43,1;1,581764221;0,351851852;1758295135;ml;rpi3;;;;
;stage 2 failure;normal;13,04984093;43,4;1,581954956;0,345454545;1758295135;ml;rpi3;;;;
;normal;normal;12,54606247;47,4;1,582145691;0,357142857;1758295135;ml;rpi3;;;;
;normal;normal;15,68508148;42,3;1,582336426;0,368421053;1758295135;ml;rpi3;;;;
;normal;normal;12,7389431;48;1,582527161;0,379310345;1758295135;ml;rpi3;;;;
;stage 2 failure;normal;15,43188095;44,1;1,582717896;0,372881356;1758295135;ml;rpi3;;;;
;normal;suspect;12,93492317;43,3;1,58290863;0,366666667;1758295135;ml;rpi3;;;;
;normal;suspect;15,55204391;46,9;1,583433151;0,360655738;1758295135;ml;rpi3;;;;
;normal;normal;13,30685616;43,2;1,583719254;0,370967742;1758295135;ml;rpi3;;;;
;imminent failure;normal;12,97402382;43,6;1,583909988;0,365079365;1758295135;ml;rpi3;;;;
;inner race failure;rolling element failure;15,62619209;42;1,584100723;0,359375;1758295135;ml;rpi3;;;;
;normal;suspect;13,36598396;43,2;1,584291458;0,353846154;1758295135;ml;rpi3;;;;
;normal;early;12,57109642;44,1;1,584482193;0,348484848;1758295135;ml;rpi3;;;;
;stage 2 failure;early;15,09189606;42,3;1,584911346;0,343283582;1758295135;ml;rpi3;;;;
;normal;normal;13,26012611;43,3;1,585292816;0,352941176;1758295135;ml;rpi3;;;;
;normal;suspect;14,64414597;42,2;1,585483551;0,347826087;1758295135;ml;rpi3;;;;
;normal;suspect;16,02292061;41,3;1,585674286;0,342857143;1758295135;ml;rpi3;;;;
;imminent failure;suspect;15,33293724;42,5;1,585865021;0,338028169;1758295135;ml;rpi3;;;;
;imminent failure;stage 2 failure;14,99176025;42,7;1,586055756;0,333333333;1758295135;ml;rpi3;;;;
;normal;suspect;13,07702065;43,6;1,58624649;0,328767123;1758295135;ml;rpi3;;;;
;normal;normal;13,18311691;43,5;1,586437225;0,337837838;1758295135;ml;rpi3;;;;
;stage 2 failure;normal;12,89701462;43,7;1,58662796;0,333333333;1758295135;ml;rpi3;;;;
;normal;normal;13,88812065;43,3;1,586818695;0,342105263;1758295135;ml;rpi3;;;;
;normal;suspect;12,57395744;45,4;1,58700943;0,337662338;1758295135;ml;rpi3;;;;
;normal;suspect;14,23192024;42,5;1,587247849;0,333333333;1758295135;ml;rpi3;;;;
;inner race failure;suspect;12,90392876;43,5;1,587438583;0,329113924;1758295135;ml;rpi3;;;;
;imminent failure;stage 2 failure;14,783144;44,9;1,587629318;0,325;1758295135;ml;rpi3;;;;
;normal;early;14,92118835;48,6;1,587820053;0,320987654;1758295135;ml;rpi3;;;;
;normal;early;13,33093643;43,3;1,588058472;0,317073171;1758295135;ml;rpi3;;;;
;normal;early;12,70580292;44;1,588249207;0,313253012;1758295135;ml;rpi3;;;;
;normal;early;13,47589493;43,6;1,588439941;0,30952381;1758295135;ml;rpi3;;;;
;normal;early;18,98813248;41,1;1,58867836;0,305882353;1758295135;ml;rpi3;;;;
;normal;early;16,68381691;44,3;1,588869095;0,302325581;1758295135;ml;rpi3;;;;
;normal;early;12,3872757;48;1,589107513;0,298850575;1758295135;ml;rpi3;;;;
;normal;early;16,64018631;40,9;1,589298248;0,295454545;1758295135;ml;rpi3;;;;
;normal;suspect;14,16087151;42,9;1,589488983;0,292134831;1758295136;ml;rpi3;;;;
;normal;normal;14,11294937;11,7;1,589727402;0,3;1758295136;ml;rpi3;;;;
;stage 2 failure;suspect;15,67697525;0,9;1,590013504;0,296703297;1758295137;ml;rpi3;;;;
;inner race failure;rolling element failure;17,3304081;1;1,590204239;0,293478261;1758295138;ml;rpi3;;;;
;normal;normal;17,15183258;1;1,590394974;0,301075269;1758295139;ml;rpi3;;;;
;normal;normal;14,23382759;0,9;1,590585709;0,308510638;1758295140;ml;rpi3;;;;
;stage 2 failure;normal;14,31798935;0,9;1,590776443;0,305263158;1758295141;ml;rpi3;;;;
;normal;rolling element failure;14,81175423;0,9;1,590967178;0,302083333;1758295142;ml;rpi3;;;;
;normal;normal;22,45402336;1,1;1,591205597;0,309278351;1758295143;ml;rpi3;;;;
;normal;normal;16,17836952;0,9;1,591444016;0,316326531;1758295144;ml;rpi3;;;;
;stage 2 failure;normal;16,96681976;1;1,59163475;0,313131313;1758295145;ml;rpi3;;;;
;normal;suspect;16,68787003;0,9;1,591873169;0,31;1758295146;ml;rpi3;;;;
;normal;suspect;17,06814766;1,3;1,592063904;0,306930693;1758295147;ml;rpi3;;;;
;normal;normal;17,5538063;0,9;1,592254639;0,31372549;1758295148;ml;rpi3;;;;
;stage 2 failure;suspect;15,76781273;0,9;1,592445374;0,310679612;1758295149;ml;rpi3;;;;
;imminent failure;stage 2 failure;18,07069778;1,7;1,59277916;0,307692308;1758295150;ml;rpi3;;;;
;normal;suspect;22,39179611;1,7;1,593112946;0,304761905;1758295151;ml;rpi3;;;;
;normal;normal;16,31402969;1;1,59330368;0,311320755;1758295152;ml;rpi3;;;;
;stage 2 failure;normal;17,13728905;1;1,593446732;0,308411215;1758295153;ml;rpi3;;;;
;normal;normal;16,15214348;0,9;1,593637466;0,314814815;1758295154;ml;rpi3;;;;
;normal;normal;15,20299911;0,9;1,593828201;0,321100917;1758295155;ml;rpi3;;;;
;normal;normal;17,96722412;1;1,594018936;0,327272727;1758295156;ml;rpi3;;;;
;stage 2 failure;normal;16,34216309;0,9;1,594209671;0,324324324;1758295157;ml;rpi3;;;;
;normal;normal;14,99605179;0,9;1,594400406;0,330357143;1758295158;ml;rpi3;;;;
;normal;suspect;14,95599747;1;1,594591141;0,327433628;1758295159;ml;rpi3;;;;
;normal;early;15,28906822;0,9;1,594781876;0,324561404;1758295160;ml;rpi3;;;;
;stage 2 failure;early;17,31109619;0,9;1,59497261;0,32173913;1758295161;ml;rpi3;;;;
